Key	文本内容1
text_materialsNameId_101459	Lv.59 Dragon Slayer Chest
text_materialsNameId_101460	Lv.60 Dragon Slayer Chest
text_materialsNameId_101501	Dragon Slayer Supreme Chest
text_materialsNameId_101502	Dragon Slayer Overlord Chest
text_materialsNameId_101503	Dragon Slayer Fiend Chest
text_materialsNameId_101504	Dragon Slayer Warrior Chest
text_materialsNameId_101505	Dragon Slayer Vanguard Chest
text_materialsNameId_101506	Dragon Slayer Contribution Chest
text_materialsNameId_101601	Victor\'s Gift
text_materialsNameId_101602	Majesty Gift
text_materialsNameId_101603	Supreme Gift
text_materialsNameId_101701	Traveler Gear Chest
text_materialsNameId_101702	Ice Gear Chest
text_materialsNameId_101703	Rhino Gear Chest
text_materialsNameId_101704	Thunder Gear Chest
text_materialsNameId_101705	Dragonscale Gear Chest
text_materialsNameId_101706	Giant Dragon Gear Chest
text_materialsNameId_101707	Thor Gear Chest
text_materialsNameId_109901	1st Top-up Mythic General Pack
text_materialsNameId_109904	Rookie Hero Pack
text_materialsNameId_109911	Mythic Hero Pack
text_materialsNameId_109921	Ancient Hero Pack - Melee
text_materialsNameId_109922	Ancient Hero Shard - Melee
text_materialsNameId_109931	Ancient Hero Pack - Ranged
text_materialsNameId_109932	Ancient Hero Shard - Ranged
text_materialsNameId_110002	Friend Gift
text_materialsNameId_200001	Ancient Soul Crystal Shard
text_materialsNameId_200002	Awakening Divine Stone Shard
text_materialsNameId_200101	Dragonite Shard
text_materialsNameId_200201	Common Gear Shard
text_materialsNameId_200202	Uncommon Gear Shard
text_materialsNameId_200203	Rare Gear Shard
text_materialsNameId_200204	Epic Gear Shard
text_materialsNameId_200205	Mythic Gear Shard
text_materialsNameId_200206	Ancient Gear Shard
text_materialsNameId_200207	Genesis Gear Shard
text_materialsNameId_200301	Bronze Key Shard
text_materialsNameId_200302	Silver Key Shard
text_materialsNameId_200303	Golden Key Shard
text_materialsNameId_200304	Violet Gold Key Shard
text_materialsNameId_200305	Diamond Key Shard
text_materialsNameId_200306	Majesty Key Shard
text_materialsNameId_300001	Explosives
text_materialsNameId_300002	Detonator
text_materialsNameId_300004	Megaphone
text_materialsNameId_300005	Gold Apple
text_materialsNameId_300006	Dragon Ball
text_materialsNameId_300007	Compensation Chest
text_materialsNameId_300008	Fate Pointer
text_materialsNameId_300101	3 Mining Shovels
text_materialsNameId_300102	5 Mining Shovels
text_materialsNameId_300103	Ultimate Chest
text_materialsNameId_300104	Hidden Treasure
text_materialsNameId_300105	Hidden Treasure
text_materialsNameId_300106	Hidden Treasure
text_materialsNameId_300201	Rookie Chest #1
text_materialsNameId_300202	Rookie Chest #2
text_materialsNameId_300203	Rookie Chest #3
text_materialsNameId_300204	Rookie Chest #4
text_materialsNameId_300401	1% of Prize pool
text_materialsNameId_300402	5% of Prize pool
text_materialsNameId_300403	10% of Prize pool
text_materialsNameId_310001	Infinity Puppets
text_materialsNameId_310002	Mystery Box
text_materialsNameId_310003	Large Mystery Box
text_materialsNameId_310004	Dragon Mark
text_materialsNameId_310005	Secret Key   
text_materialsNameId_310006	Random Magic Card
text_materialsNameId_399998	World Stone
text_materialsNameId_399999	Magic Panel
text_materialsNameId_400001	Perks Card (30 Days)
text_materialsNameId_400002	SP Perks Card (30 Days)
text_materialsDescId_1	Required for transcending heroes. Contains amazing power.
text_materialsDescId_2	Required for hero title promotion. Crafted from dragon bones over the course of 49 days.
text_materialsDescId_3	Necessary item to increase hero fate level.
text_materialsDescId_4	Required for increasing hero fate level to +11 and higher. Can be acquired in Fate Stone Crafting.
text_materialsDescId_5	Material used in enhance gear. Emits the energy of the gods.
text_materialsDescId_6	Required for advancing troops. Can be acquired in Military Gear Crafting.
text_materialsDescId_11	Material used in basic gear refining. Grants 5 refine EXP.
text_materialsDescId_12	Material used in intermediate gear refining. Grants 10 refine EXP.
text_materialsDescId_13	Material used in advanced gear refining. Grants 25 refine EXP.
text_materialsDescId_14	Material used in super gear refining. Grants 50 refine EXP.
text_materialsDescId_21	Used to level up heroes. Grants 600 hero EXP.
text_materialsDescId_22	Used to level up heroes. Grants 1200 hero EXP.
text_materialsDescId_23	Used to level up heroes. Grants 9000 hero EXP.
text_materialsDescId_31	Used to instantly gain 2 hrs worth of Wilderness Idle benefits.
text_materialsDescId_32	Used to instantly gain 5 hrs worth of Wilderness Idle benefits.
text_materialsDescId_33	Used to instantly gain 12 hrs worth of Wilderness Idle benefits.
text_materialsDescId_34	Used to instantly gain 24 hrs worth of Wilderness Idle benefits.
text_materialsDescId_41	Required for hero gear slot awakening. Activates the body\'s potential.
text_materialsDescId_42	A stone used for hero gear slot ultimate awakening. Activates mysterious powers hidden within.
text_materialsDescId_50	Rough blueprints, used to modify epic gear.
text_materialsDescId_51	Detailed blueprints, used to modify mythic gear.
text_materialsDescId_52	Meticulous blueprints, used to modify ancient gear.
text_materialsDescId_53	Superb blueprints, used to modify genesis gear.
text_materialsDescId_61	A rare material used to modify mythic, ancient and genesis gear.
text_materialsDescId_62	A rare material used to modify genesis gear.
text_materialsDescId_72	An extremely rare item, used to advancing hero to Uncommon.
text_materialsDescId_73	An extremely rare item, used to advancing hero to Good.
text_materialsDescId_74	An extremely rare item, used to advancing hero to Epic.
text_materialsDescId_75	An extremely rare item, used to advancing hero to Mythic.
text_materialsDescId_76	An extremely rare item, used to advancing hero to Ancient.
text_materialsDescId_77	An extremely rare item, used to advancing hero to Genesis.
text_materialsDescId_100	An extremely rare item, necessary for ranking up Holy Weapons.
text_materialsDescId_101	An rank-up item that can only be used to advance Tier 1 Holy Weapons.
text_materialsDescId_102	An rank-up item that can only be used to advance Tier 2 Holy Weapons.
text_materialsDescId_103	An rank-up item that can only be used to advance Tier 3 Holy Weapons.
text_materialsDescId_104	An rank-up item that can only be used to advance Tier 4 Holy Weapons.
text_materialsDescId_105	An rank-up item that can only be used to advance Tier 5 Holy Weapons.
text_materialsDescId_106	An rank-up item that can only be used to advance Tier 6 Holy Weapons.
text_materialsDescId_107	An rank-up item that can only be used to advance Tier 7 Holy Weapons.
text_materialsDescId_108	An rank-up item that can only be used to advance Tier 8 Holy Weapons.
text_materialsDescId_109	An rank-up item that can only be used to advance Tier 9 Holy Weapons.
text_materialsDescId_110	An rank-up item that can only be used to advance Tier 10 Holy Weapons.
text_materialsDescId_200	An extremely rare item, necessary for ranking up Holy Wings.
text_materialsDescId_201	An rank-up item that can only be used to advance Tier 1 Holy Wings.
text_materialsDescId_202	An rank-up item that can only be used to advance Tier 2 Holy Wings.
text_materialsDescId_203	An rank-up item that can only be used to advance Tier 3 Holy Wings.
text_materialsDescId_204	An rank-up item that can only be used to advance Tier 4 Holy Wings.
text_materialsDescId_205	An rank-up item that can only be used to advance Tier 5 Holy Wings.
text_materialsDescId_206	An rank-up item that can only be used to advance Tier 6 Holy Wings.
text_materialsDescId_207	An rank-up item that can only be used to advance Tier 7 Holy Wings.
text_materialsDescId_208	An rank-up item that can only be used to advance Tier 8 Holy Wings.
text_materialsDescId_209	An rank-up item that can only be used to advance Tier 9 Holy Wings.
text_materialsDescId_210	An rank-up item that can only be used to advance Tier 10 Holy Wings.
text_materialsDescId_300	An extremely rare item, necessary for ranking up Holy Mounts.
text_materialsDescId_301	An rank-up item that can only be used to advance Tier 1 Holy Mounts.
text_materialsDescId_302	An rank-up item that can only be used to advance Tier 2 Holy Mounts.
text_materialsDescId_303	An rank-up item that can only be used to advance Tier 3 Holy Mounts.
text_materialsDescId_304	An rank-up item that can only be used to advance Tier 4 Holy Mounts.
text_materialsDescId_305	An rank-up item that can only be used to advance Tier 5 Holy Mounts.
text_materialsDescId_306	An rank-up item that can only be used to advance Tier 6 Holy Mounts.
text_materialsDescId_307	An rank-up item that can only be used to advance Tier 7 Holy Mounts.
text_materialsDescId_308	An rank-up item that can only be used to advance Tier 8 Holy Mounts.
text_materialsDescId_309	An rank-up item that can only be used to advance Tier 9 Holy Mounts.
text_materialsDescId_310	An rank-up item that can only be used to advance Tier 10 Holy Mounts.
text_materialsDescId_400	The higher the artifact rank the more you can use and the better the bonus for each Moonstone.
text_materialsDescId_401	The higher the artifact rank the more you can use. Sunstones increase holy relic base stats by a certain percentage.
text_materialsDescId_930	Cost 20 shards to get a 1~3-Star Hero
text_materialsDescId_940	Cost 40 shards to get a 4-Star Hero Shard
text_materialsDescId_950	Cost 60 shards to get a 5-Star Hero Shard
text_materialsDescId_1001	Green Swordsman hero shard. Collect 20 to get the Green Swordsman card.
text_materialsDescId_1002	Cute Archer hero shard. Collect 20 to get the Cute Archer card.
text_materialsDescId_2001	Boar Knight hero shard. Collect 20 to get the Boar Knight card.
text_materialsDescId_2002	Wind Walker hero shard. Collect 20 to get the Wind Walker card.
text_materialsDescId_3001	Blood Axe Warrior hero shard. Collect 20 to get the Blood Axe Warrior card.
text_materialsDescId_3002	Cute Mage hero shard. Collect 20 to get the Cute Mage card.
text_materialsDescId_5001	Forest King hero shard. Collect 60 to get the Forest King card.
text_materialsDescId_5002	Forest Princess hero shard. Collect 60 to get the Forest Princess card.
text_materialsDescId_5003	Hammer Dwarf hero shard. Collect 40 to get the Hammer Dwarf card.
text_materialsDescId_5004	Cannon Master hero shard. Collect 40 to get the Cannon Master card.
text_materialsDescId_5005	Naga Queen hero shard. Collect 60 to get the Naga Queen card.
text_materialsDescId_5006	Medusa hero shard. Collect 60 to get the Medusa card.
text_materialsDescId_5007	Sacred Knight hero shard. Collect 40 to get the Sacred Knight card.
text_materialsDescId_5008	Light Maiden hero shard. Collect 40 to get the Light Maiden card.
text_materialsDescId_5009	Battle Mage hero shard. Collect 60 to get the Battle Mage card.
text_materialsDescId_5010	Dark Maiden hero shard. Collect 60 to get the Dark Maiden card.
text_materialsDescId_5011	Pirate Butcher hero shard. Collect 40 to get the Pirate Butcher card.
text_materialsDescId_5012	Royal Chef hero shard. Collect 40 to get the Royal Chef card.
text_materialsDescId_5013	Pharaoh hero shard. Collect 40 to get the Pharaoh card.
text_materialsDescId_5014	Cleopatra hero shard. Collect 40 to get the Cleopatra card.
text_materialsDescId_5015	Holy Knight hero shard. Collect 60 to get the Holy Knight card.
text_materialsDescId_5016	Archmage hero shard. Collect 60 to get the Archmage card.
text_materialsDescId_5017	Shield Guard hero shard. Collect 40 to get the Shield Guard card.
text_materialsDescId_5018	Moon Archer hero shard. Collect 40 to get the Moon Archer card.
text_materialsDescId_5019	Wizard Knight hero shard. Collect 40 to get the Wizard Knight card.
text_materialsDescId_5020	Graveyard Keeper hero shard. Collect 40 to get the Graveyard Keeper card.
text_materialsDescId_5021	Son of Justice hero shard. Collect 60 to get the Son of Justice card.
text_materialsDescId_5022	Eccentric Wizard hero shard. Collect 60 to get the Eccentric Wizard card.
text_materialsDescId_5023	Griffin Knight hero shard. Collect 60 to get the Griffin Knight card.
text_materialsDescId_5024	Elf Prince hero shard. Collect 60 to get the Elf Prince card.
text_materialsDescId_5025	Tidal Calamity hero shard. Collect 60 to get the Tidal Calamity card.
text_materialsDescId_5026	Ocean Spirit hero shard. Collect 60 to get the Ocean Spirit card.
text_materialsDescId_5027	Emperor of Death hero shard. Collect 60 to get the Emperor of Death card.
text_materialsDescId_5028	Dragon Witch hero shard. Collect 60 to get the Dragon Witch card.
text_materialsDescId_7001	Moon God hero shard. Collect 200 to get the Moon God card.
text_materialsDescId_7002	Son of Darkness hero shard. Collect 200 to get the Son of Darkness card.
text_materialsDescId_7003	Titan hero shard. Collect 200 to get the Titan card.
text_materialsDescId_7004	Chaos Lord hero shard. Collect 200 to get the Chaos Lord card.
text_materialsDescId_100001	Open to receive random Lv.1-3 gems.
text_materialsDescId_100002	Open to receive random Lv.3-5 gems.
text_materialsDescId_100003	Open it to get a random Lv.5 Gem
text_materialsDescId_100004	Open it to get a random Lv.6 Gem
text_materialsDescId_100005	Open it to get a random Lv.7 Gem
text_materialsDescId_100006	Open it to get a random Lv.8 Gem
text_materialsDescId_100007	Open it to get a random Lv.9 Gem
text_materialsDescId_100008	Open it to get a random Lv.10 Gem
text_materialsDescId_100009	Open it to get a random Lv.11 Gem
text_materialsDescId_100010	Open it to get a random Lv.12 Gem
text_materialsDescId_100101	Open to receive 100 Fate Stones.
text_materialsDescId_100102	Open to receive 300 Fate Stones.
text_materialsDescId_100103	Open to receive 500 Fate Stones.
text_materialsDescId_100201	Open to receive 50000 gold.
text_materialsDescId_100202	Open to receive 100000 gold.
text_materialsDescId_100203	Open to receive 300000 gold.
text_materialsDescId_100204	Open to receive 500000 gold.
text_materialsDescId_100205	Open to receive 1000000 gold.
text_materialsDescId_100206	Open to receive 2000000 gold.
text_materialsDescId_100301	Open to receive 100 Soul Crystals.
text_materialsDescId_100302	Open to receive 300 Soul Crystals.
text_materialsDescId_100303	Open to receive 500 Soul Crystals.
text_materialsDescId_100401	Open to receive random Lv.3-6 gems (5% chance to get Super Dragonite).
text_materialsDescId_100402	Open to receive random Lv.1-4 gems (5% chance to get Super Dragonite).
text_materialsDescId_100501	Open to receive 1 random Lv.1 Dragonite.
text_materialsDescId_100502	Open to receive 1 random Lv.2 Dragonite.
text_materialsDescId_100503	Open to receive 1 random Lv.3 Dragonite.
text_materialsDescId_100504	Open to receive 1 random Lv.4 Dragonite.
text_materialsDescId_100505	Open to receive 1 random Lv.5 Dragonite.
text_materialsDescId_100601	Open for a high chance to receive common or uncommon runes, and a chance to receive rare or epic runes.
text_materialsDescId_100602	Open for a high chance to receive uncommon or rare runes, and a chance to receive epic or mythic runes.
text_materialsDescId_100701	Open to receive a set of rank 1 Military Gear.
text_materialsDescId_100702	Open to receive a set of rank 2 Military Gear.
text_materialsDescId_100703	Open to receive a set of rank 3 Military Gear.
text_materialsDescId_100704	Open to receive a set of rank 4 Military Gear.
text_materialsDescId_100705	Open to receive a set of rank 5 Military Gear.
text_materialsDescId_100706	Open to receive a set of rank 6 Military Gear.
text_materialsDescId_100707	Open to receive a set of rank 7 Military Gear.
text_materialsDescId_100708	Open to receive a set of rank 8 Military Gear.
text_materialsDescId_100709	Open to receive a set of rank 9 Military Gear.
text_materialsDescId_100710	Open to receive a set of rank 10 Military Gear.
text_materialsDescId_101101	Open to receive superb items!
text_materialsDescId_101102	Open to receive superb items!
text_materialsDescId_101103	Open to receive superb items!
text_materialsDescId_101104	Open to receive superb items!
text_materialsDescId_101105	Open to receive superb items!
text_materialsDescId_101106	Open to receive superb items!
text_materialsDescId_101151	Used to open Bronze Chests!
text_materialsDescId_101152	Used to open Silver Chests!
text_materialsDescId_101153	Used to open Gold Chests!
text_materialsDescId_101154	Used to open Violet Gold Chests!
text_materialsDescId_101155	Used to open Diamond Chests!
text_materialsDescId_101156	Used to open Majesty Chests!
text_materialsDescId_101201	A rare chest containing superb items!
text_materialsDescId_101301	A rare chest containing various rare items.
text_materialsDescId_101302	A rare chest containing various rare items.
text_materialsDescId_101303	A rare chest containing various rare items.
text_materialsDescId_101401	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101402	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101403	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101404	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101405	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101406	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101407	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101408	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101409	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101410	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101411	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101412	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101413	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101414	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101415	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101416	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101417	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101418	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101419	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101420	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101421	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101422	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101423	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101424	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101425	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101426	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101427	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101428	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101429	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101430	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101431	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101432	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101433	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101434	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101435	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101436	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101437	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101438	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101439	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101440	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101441	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101442	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101443	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101444	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101445	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101446	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101447	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101448	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101449	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101450	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101451	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101452	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101453	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101454	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101455	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101456	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101457	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101458	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101459	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101460	A thank for everyone\'s hard work on behalf of the legion. Contains a mystery reward!
text_materialsDescId_101501	Legion Boss reward for all participating members of the legion ranked number 1!
text_materialsDescId_101502	Legion Boss reward for all participating members of the legion ranked number 2!
text_materialsDescId_101503	Legion Boss reward for all participating members of the legion ranked number 3!
text_materialsDescId_101504	Legion Boss reward for all participating members of legions ranked 4-10!
text_materialsDescId_101505	Legion Boss reward for all participating members of legions ranked 11-20!
text_materialsDescId_101506	Legion Boss reward for all participating members of legions ranked 21 and below!
text_materialsDescId_101601	Open to receive a random super item.
text_materialsDescId_101602	Open to receive a random super item.
text_materialsDescId_101603	Open to receive a random super item.
text_materialsDescId_101701	Open to receive a complete set of Traveler gear！ 
text_materialsDescId_101702	Open to receive a complete set of Ice gear！
text_materialsDescId_101703	Open to receive a complete set of Rhino gear！
text_materialsDescId_101704	Open to receive a complete set of Thunder gear！
text_materialsDescId_101705	Open to receive a complete set of Dragonscale gear！
text_materialsDescId_101706	Open to receive a complete set of Giant Dragon gear！
text_materialsDescId_101707	Open to receive a complete set of Thor gear
text_materialsDescId_109901	Select a hero : Holy Knight, Cleopatra, Forest King or Medusa.
text_materialsDescId_109904	Select any epic hero !
text_materialsDescId_109911	Select any mythic hero !
text_materialsDescId_109921	Select any ancient melee hero !
text_materialsDescId_109922	Select any ancient melee hero shard !
text_materialsDescId_109931	Select any ancient ranged hero !
text_materialsDescId_109932	Select any ancient ranged hero shard !
text_materialsDescId_110002	Open to receive a gift from a friend.
text_materialsDescId_200001	Collect 1000 to craft 1 rare Ancient Soul Crystal that can be used to purchase ancient heroes in Hero Store.
text_materialsDescId_200002	Collect 10000 to craft 1 Awakening Divine Stone that can be used in gear slot ultimate awakening.
text_materialsDescId_200101	Collect 40 Dragonite Shards to craft 1 Lv.1 Dragonite.
text_materialsDescId_200201	Collect 100 to craft 1 random common gear.
text_materialsDescId_200202	Collect 100 to craft 1 random uncommon gear.
text_materialsDescId_200203	Collect 100 to craft 1 random rare gear.
text_materialsDescId_200204	Collect 100 to craft 1 random epic gear.
text_materialsDescId_200205	Collect 100 to craft 1 random mythic gear.
text_materialsDescId_200206	Collect 100 to craft 1 random ancient gear.
text_materialsDescId_200207	Collect 100 to craft 1 random genesis gear.
text_materialsDescId_200301	Collect 5 to craft 1 Bronze Key.
text_materialsDescId_200302	Collect 10 to craft 1 Silver Key.
text_materialsDescId_200303	Collect 15 to craft 1 Golden Key.
text_materialsDescId_200304	Collect 20 to craft 1 Violet Gold Key.
text_materialsDescId_200305	Collect 25 to craft 1 Diamond Key.
text_materialsDescId_200306	Collect 30 to craft 1 Majesty Key.
text_materialsDescId_300001	Drag and drop to clear a horizontal line of soil.
text_materialsDescId_300002	Drag and drop to clear a vertical line of soil.
text_materialsDescId_300004	Used to send chat messages on the world channel.
text_materialsDescId_300005	Very valuable, can be exchanged for rare items!
text_materialsDescId_300006	Very valuable, used to summon mysterious treasure!
text_materialsDescId_300007	Rich compensation, the more the better!
text_materialsDescId_300008	Draw Fate Pointer to activate Fate Wheel
text_materialsDescId_300101	Dig up 3 treasures, get 3 Mining Shovels!
text_materialsDescId_300102	Dig up 6 treasures, get 5 Mining Shovels!
text_materialsDescId_300103	Dig up all treasures to win the ultimate reward!
text_materialsDescId_300104	Open to receive superb items!
text_materialsDescId_300105	Open to receive superb items!
text_materialsDescId_300106	Open to receive superb items!
text_materialsDescId_300201	Collect 1 star to open.
text_materialsDescId_300202	Collect 3 star to open.
text_materialsDescId_300203	Collect 5 star to open.
text_materialsDescId_300204	Collect 5 star to open.
text_materialsDescId_300401	You can get a 1% prize pool.
text_materialsDescId_300402	You can get a 5% prize pool.
text_materialsDescId_300403	You can get a 10% prize pool.
text_materialsDescId_310001	Used to challenge Infinity Puppets.
text_materialsDescId_310002	Open to receive random items.
text_materialsDescId_310003	Open to receive random items.
text_materialsDescId_310004	Collect a certain amount to claim weekly Achievement rewards.
text_materialsDescId_310005	Collect 7 Keys to challenge the giant octopus-Irelanss
text_materialsDescId_310006	Receive a random Magic Card of Legion War
text_materialsDescId_399998	Ticket to the Abyss World
text_materialsDescId_399999	It glows with a faint light, as if wanting to tell you about something that happened thousands of years ago in this wonderful land.
text_materialsDescId_400001	Gain to activate "Perks Card" and claim 150 Blue Diamonds per day. Lasts 30 days. (One of the requirements for activating Double Card Packs)
text_materialsDescId_400002	Gain to activate "SP Perks Card" and claim 240 Blue Diamonds per day. Lasts 30 days. (One of the requirements for activating Double Card Packs)
text_gemNameId_101	Lv.1 Ruby
text_gemNameId_102	Lv.2 Ruby
text_gemNameId_103	Lv.3 Ruby
text_gemNameId_104	Lv.4 Ruby
text_gemNameId_105	Lv.5 Ruby
text_gemNameId_106	Lv.6 Ruby
text_gemNameId_107	Lv.7 Ruby
text_gemNameId_108	Lv.8 Ruby
text_gemNameId_109	Lv.9 Ruby
text_gemNameId_110	Lv.10 Ruby
text_gemNameId_111	Lv.11 Ruby
text_gemNameId_112	Lv.12 Ruby
text_gemNameId_201	Lv.1 Topaz
text_gemNameId_202	Lv.2 Topaz
text_gemNameId_203	Lv.3 Topaz
text_gemNameId_204	Lv.4 Topaz
text_gemNameId_205	Lv.5 Topaz
text_gemNameId_206	Lv.6 Topaz
text_gemNameId_207	Lv.7 Topaz
text_gemNameId_208	Lv.8 Topaz
text_gemNameId_209	Lv.9 Topaz
text_gemNameId_210	Lv.10 Topaz
text_gemNameId_211	Lv.11 Topaz
text_gemNameId_212	Lv.12 Topaz
text_gemNameId_301	Lv.1 Sapphire
text_gemNameId_302	Lv.2 Sapphire
text_gemNameId_303	Lv.3 Sapphire
text_gemNameId_304	Lv.4 Sapphire
text_gemNameId_305	Lv.5 Sapphire
text_gemNameId_306	Lv.6 Sapphire
text_gemNameId_307	Lv.7 Sapphire
text_gemNameId_308	Lv.8 Sapphire
text_gemNameId_309	Lv.9 Sapphire
text_gemNameId_310	Lv.10 Sapphire
text_gemNameId_311	Lv.11 Sapphire
text_gemNameId_312	Lv.12 Sapphire
text_gemNameId_401	Lv.1 Emerald
text_gemNameId_402	Lv.2 Emerald
text_gemNameId_403	Lv.3 Emerald
text_gemNameId_404	Lv.4 Emerald
text_gemNameId_405	Lv.5 Emerald
text_gemNameId_406	Lv.6 Emerald
text_gemNameId_407	Lv.7 Emerald
text_gemNameId_408	Lv.8 Emerald
text_gemNameId_409	Lv.9 Emerald
text_gemNameId_410	Lv.10 Emerald
text_gemNameId_411	Lv.11 Emerald
text_gemNameId_412	Lv.12 Emerald
text_gemDescId_normal	Inlaid in gear or used to craft more advanced gems.
text_gemDescId_max	The highest quality gem, can be inlaid in gear.
text_dragongemNameId_101	Lv.1 Dragonite
text_dragongemNameId_102	Lv.2 Dragonite
text_dragongemNameId_103	Lv.3 Dragonite
text_dragongemNameId_104	Lv.4 Dragonite
text_dragongemNameId_105	Lv.5 Dragonite
text_dragongemNameId_106	Lv.6 Dragonite
text_dragongemNameId_107	Lv.7 Dragonite
text_dragongemNameId_108	Lv.8 Dragonite
text_dragongemNameId_109	Lv.9 Dragonite
text_dragongemNameId_110	Lv.10 Dragonite
text_dragongemNameId_1001	Lv.1 Super Dragonite
text_dragongemNameId_1002	Lv.2 Super Dragonite
text_dragongemNameId_1003	Lv.3 Super Dragonite
text_dragongemNameId_1004	Lv.4 Super Dragonite
text_dragongemNameId_1005	Lv.5 Super Dragonite
text_dragongemNameId_1006	Lv.6 Super Dragonite
text_dragongemNameId_1007	Lv.7 Super Dragonite
text_dragongemNameId_1008	Lv.8 Super Dragonite
text_dragongemNameId_1009	Lv.9 Super Dragonite
text_dragongemNameId_1010	Lv.10 Super Dragonite
