城池ID	城池组ID	等级限制	探索星星要求	地图碎片ID	城池名称	城池类型	城池类型2	是否翻转	默认势力	boss展示	城市坐标X	城市坐标Y	山贼坐标	背景块	功能开启	新手引导标示	开启龙	是否开启功能	是否显示进贡	进贡	战斗背景	小战斗ID	战斗ID	普通消耗粮草	普通掉落经验	挑战次数上限	掉落道具组ID	小战斗首次掉落道具	首次掉落道具	精英怪物ID	精英消耗粮草	精英掉落经验	精英挑战次数上限	精英掉落道具组ID	精英首次掉落道具	切磋怪物ID	切磋消耗粮草	切磋掉落经验	切磋挑战次数上限	切磋掉落道具组ID	太守消耗粮草	太守产出ID	巡逻每轮金币	巡逻每轮经验	巡逻掉落装备等级	巡逻掉落装备品质	巡逻掉落装备部位1	巡逻掉落装备部位2	巡逻掉落装备个数	描述	切磋描述
91	24	1	492	91	91.绵竹关	9	1	1	3	0	1224.4	1427.99	85|250|-1|-120|100	14	0	0	0		1	equip.150901.0:1,material.200003:4	1	20911|20912	91	5	user.xp:200	99	91	10911|10912		291	5	user.xp:200	30	291	dress.181:1	491	5	user.xp:200	5	491	2	691	268	30	90	5	0	0	1	    名关之一。隶属于绵竹县，在鹿头山。竹关控扼川陕古道，而且地势雄峻，易守难攻。绵竹关之战便是在此处发生。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
92	24	70	492	92	92.成都	2	5	0	3	0	1073.78	1221.65	85|250|-1|-120|100	14	0	0	0		1		1	20921|20922	92	5	user.xp:200	99	92	10921|10922		292	5	user.xp:200	30	292	dress.182:1	492	5	user.xp:200	5	492	2	692	274	30	90	5	5	0	1	    214年，刘备降服刘璋后，即以次为根据地。221年刘备即位，这里便成为蜀汉的首都。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
93	25	1	522	93	93.武阳	5	3	0	3	0	1034.07	983.57	93|150|-30|-50|100	19	0	0	0		1	equip.450901.0:1,material.200003:4	1	20931|20932	93	5	user.xp:200	99	93	10931|10932		293	5	user.xp:200	30	293	dress.183:1	493	5	user.xp:200	5	493	2	693	280	30	90	5	0	0	1	    武阳历史悠久，地灵人杰。曹操在武阳之战用“围魏救赵”之谋，掌握战场主动权，既速解武阳之围，又于运动中歼敌。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
94	25	1	522	94	94.永昌	8	5	1	3	1	776.21	739.47	93|150|-30|-50|100	19	0	0	0		1		1	20941|20942	94	5	user.xp:200	99	94	10941|10942		294	5	user.xp:200	30	294	dress.184:1	494	5	user.xp:200	5	494	2	694	289	30	90	5	0	0	1	    三国时代，永昌郡东部的叶榆县、邪龙县、云南县等县份与建宁郡的一部分被划出来设为云南郡。增加了南方的永寿县。孟获叛乱时，吕凯和王伉率军抵抗，坚持到诸葛亮前来。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
95	25	1	522	96	95.云南	3	5	1	3	0	847.44	437.33	95|360|-360|-120|100	19	0	0	0		1		1	20951|20952	95	5	user.xp:200	99	95	10951|10952		295	5	user.xp:200	30	295	dress.185:1	495	5	user.xp:200	5	495	2	695	298	30	90	5	1	0	1	    蜀汉建兴三年诸葛亮平定西南，分建宁、越隽、永昌三郡地置云南郡，云南县为郡治	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
96	25	1	522	95	96.建宁	1	2	0	3	1	1498.9	394.62	95|360|-360|-120|100	20	0	0	11		1	equip.650901.0:1,material.200003:4	1	20961|20962	96	5	user.xp:200	99	96	10961|10962	card.10014:1	296	5	user.xp:200	30	296	dress.186:1	496	5	user.xp:200	5	496	2	696	306	30	90	5	0	0	1	    公元214年，三国东吴定都建业，设县建宁，孙权割湖南县以东和醴陵、修县沿湘江东岸地带置建宁县。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
97	26	1	546	97	97.濡须口	4	4	0	2	0	4838.43	1846.22	97|-275|-25|-25|100	17	0	0	0		1	equip.250901.0:1,material.200003:4	1	20971|20972	97	5	user.xp:200	99	97	10971|10972		297	5	user.xp:200	30	297	dress.181:1	497	5	user.xp:200	5	497	2	697	315	30	90	5	0	0	1	    濡须口，建安十七年，曹操起军四十万欲报赤壁之仇，孙权大惊商议拒敌之策，人报长史张紘病故有哀书劝孙权迁居秣陵，言秣陵山川有帝王之气，遂命迁至建邺，筑石头城。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
98	26	1	546	99	98.淮阴	2	8	1	2	0	5027.15	2261.67	119|1|-150|-100|200	11	0	0	0		1		1	20981|20982	98	5	user.xp:200	99	98	10981|10982		298	5	user.xp:200	30	298	dress.182:1	498	5	user.xp:200	5	498	2	698	324	30	90	5	4	0	1	    吴国丞相步骘和吴国皇后步练师的家族发源地	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
99	26	1	546	98	99.广陵	4	3	0	2	1	5496.89	2070.93	119|1|-150|-100|200	12	0	0	0		1	equip.350901.0:1,material.200003:4	1	20991|20992	99	5	user.xp:200	99	99	10991|10992		299	5	user.xp:200	30	299	dress.183:1	499	5	user.xp:200	5	499	2	699	333	30	90	5	0	0	1	    三国时，孙策曾带兵侵入，但被太守陈登击退。后江淮之间为吴魏两国争斗的瓯脱之地，魏迁郡治淮阴县。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
100	26	1	546	100	100.下邳	5	6	1	2	0	5010.65	2566.96	119|1|-150|-100|200	11	0	0	0		1		1	21001|21002	100	5	user.xp:200	99	100	11001|11002		300	5	user.xp:200	30	300	dress.184:1	500	5	user.xp:200	5	500	2	700	341	30	90	5	6	0	1	    汉朝平定天下，将郯郡改名为东海郡，后置下邳国。公元198年，曹操利用水攻在此最终歼灭吕布。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
101	27	1	570	101	101.徐州	7	5	1	2	0	4666.47	2425.37	101|-100|-200|-100|20	11	0	0	0		1	equip.550901.0:1,material.200003:4	1	21011|21012	101	5	user.xp:200	99	101	11011|11012		301	5	user.xp:200	30	301	dress.185:1	501	5	user.xp:200	5	501	2	701	350	30	90	5	0	0	1	    徐州 古称彭城，华夏九州之一。自古便是北国锁钥、南国门户、兵家必争之地和商贾云集中心。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
102	27	1	570	102	102.寿春	2	7	0	2	0	4384.34	2191.6	102|-50|-200|-200|100	11	0	0	0		1		1	21021|21022	102	5	user.xp:200	99	102	11021|11022		302	5	user.xp:200	30	302	dress.186:1	502	5	user.xp:200	5	502	2	702	359	30	90	5	2	0	1	    东汉末年，群雄并起，逃离南阳的袁术就以此地为据点。197年，袁术僭称帝位，建都与此。公元257年至公元258年，魏大将军司马昭在寿春全歼诸葛诞军及吴军近20万人，后世称为寿春之战。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
103	27	1	570	103	103.合肥	5	5	0	2	0	4410.13	1917.86	102|-50|-200|-200|100	17	0	0	0		1	equip.151001.0:1,material.200003:4	1	21031|21032	103	5	user.xp:200	99	103	11031|11032		303	5	user.xp:200	30	303	dress.181:1	503	5	user.xp:200	5	503	2	703	368	30	90	5	0	0	1	    合肥是曹操命刘馥建设的一座东南方重要、繁荣的城市（后再增筑，命为合肥新城），而其主要作用是抵抗敌人的寨垒，所以守备能力对曹军极为重要；而东吴若要北伐，合肥是其中一个障碍点及补给点	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
104	27	1	570	104	104.汝南	2	7	1	2	1	3904.41	1813.39	104|250|60|100|100	16	0	0	0		1		1	21041|21042	104	5	user.xp:200	99	104	11041|11042		304	5	user.xp:200	30	304	dress.182:1	504	5	user.xp:200	5	504	2	704	376	30	100	5	3	0	1	    201年，遭曹操攻陷。建安十八年，曹操析汝南郡之城父及沛郡数县置谯郡。又析汝南郡、江夏郡置弋阳郡。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
105	28	1	594	105	105.谯郡	2	7	0	2	0	3670.57	2106.9	107|260|-150|-100|100	10	0	0	0		1	equip.451001.0:1,material.200003:6	1	21051|21052	105	5	user.xp:200	99	105	11051|11052		305	5	user.xp:200	30	305	dress.183:1	505	5	user.xp:200	5	505	2	705	385	30	100	5	0	0	1	    商丘谯郡，曹操的老家。东汉末年，魏武帝曹操在商丘设置谯郡。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
106	28	80	594	106	106.南阳	4	4	0	2	0	3353.79	2052.56	107|260|-150|-100|100	16	0	0	0		1		1	21061|21062	106	5	user.xp:200	99	106	11061|11062		306	5	user.xp:200	30	306	dress.184:1	506	5	user.xp:200	5	506	2	706	394	30	100	5	5	0	1	    南阳是诸葛亮躬耕隐居之地、刘备“三顾茅庐”发源地	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
107	28	1	594	108	107.许昌	3	4	0	2	0	3146.03	2279.62	107|260|-150|-100|100	10	0	0	0		1	equip.651001.0:1,material.200003:6	1	21071|21072	107	5	user.xp:200	99	107	11071|11072		307	5	user.xp:200	30	307	dress.185:1	507	5	user.xp:200	5	507	2	707	403	30	100	5	0	0	1	    许昌为魏五都之一。魏国魏黄初二年，魏文帝曹丕以“汉亡于许，魏基昌于许”，改许县为“许昌县”。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
108	28	1	594	20	108.汜水关	6	4	0	2	0	3169.47	2446.51	107|260|-150|-100|100	10	0	0	0		1		1	21081|21082	108	5	user.xp:200	99	108	11081|11082		308	5	user.xp:200	30	308	dress.186:1	508	5	user.xp:200	5	508	2	708	411	30	100	5	1	0	1	    汜水关，汜水关作为洛阳东边门户和重要的关隘，南连嵩岳，北濒黄河，山岭交错，自成天险。大有“一夫当关，万夫莫开”之势，为历代兵家必争之地。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
109	28	1	594	109	109.陈留	5	5	0	2	1	3559.39	2357.71	107|260|-150|-100|100	10	0	0	0		1	equip.251001.0:1,material.200003:6	1	21091|21092	109	5	user.xp:200	99	109	11091|11092		309	5	user.xp:200	30	309	dress.181:1	509	5	user.xp:200	5	509	2	709	420	30	100	5	0	0	1	    东汉末年，改陈留郡为陈留国，汉献帝即位前就曾经是陈留王。公元189年，曹操从这里起兵，发布董卓的檄文。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
110	29	1	624	110	110.淮阳	5	6	0	2	0	3975.91	2227.85	112|280|-160|-75|100	10	0	0	0		1		1	21101|21102	110	5	user.xp:200	99	110	11101|11102		310	5	user.xp:200	30	310	dress.182:1	510	5	user.xp:200	5	510	2	710	429	30	100	5	4	0	1	    淮阳古称宛丘、陈、陈州，历史源远流长，是一个古老而神奇的地方。是姓氏文化、农耕文化、八卦文化和龙图腾的发源地。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
111	29	1	624	111	111.定陶	7	5	1	2	0	4166.06	2511.85	112|280|-160|-75|100	11	0	0	0		1	equip.351001.0:1,material.200003:6	1	21111|21112	111	5	user.xp:200	99	111	11111|11112		311	5	user.xp:200	30	311	dress.183:1	511	5	user.xp:200	5	511	2	711	438	30	100	5	0	0	1	    定陶古称陶，因尧又叫陶唐氏，遂得名为陶丘，是一座历史悠久的古城，新石器时代，人类就在这里渔猎耕种，繁衍生息。尧、舜时期为古陶国。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
112	29	1	624	112	112.濮阳	2	7	0	2	0	3859.87	2523.24	109|150|-20|-75|100	10	0	0	0		1		1	21121|21122	112	5	user.xp:200	99	112	11121|11122		312	5	user.xp:200	30	312	dress.184:1	512	5	user.xp:200	5	512	2	712	446	30	100	5	6	0	1	    濮阳，属兖州，晋咸宁三年改东郡置濮阳国。194年，曹操和吕布在这里展开激烈的殊死战。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
113	29	1	624	113	113.官渡	4	4	0	2	0	3595.2	2558.46	109|150|-20|-75|100	10	0	0	0		1	equip.551001.0:1,material.200003:6	1	21131|21132	113	5	user.xp:200	99	113	11131|11132		313	5	user.xp:200	30	313	dress.185:1	513	5	user.xp:200	5	513	2	713	455	30	100	5	0	0	1	    官渡，位于河南中牟县，黄河之南，是从河北进军河南地界的军事要冲之地，因为发生了震惊天下的官渡大战而闻名。建安五年，曹操军与袁绍军相持于官渡。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
114	30	1	648	114	114.黎阳	7	7	1	2	1	3571.26	2874.54	112|280|-160|-75|100	10	0	0	0		1		1	21141|21142	114	5	user.xp:200	99	114	11141|11142		314	5	user.xp:200	30	314	dress.186:1	514	5	user.xp:200	5	514	2	714	464	30	100	5	2	0	1	    西汉高祖时置县，称黎阳县，北魏时期改黎阳县为黎阳郡。自古以来为兵家重地。袁绍之子袁谭黎阳之败，关羽温酒斩华雄之地	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
115	30	1	648	115	115.乐陵	7	7	1	2	0	3893.04	2930.17	112|280|-160|-75|100	10	0	0	0		1	equip.151001.0:1,material.200003:6	1	21151|21152	115	5	user.xp:200	99	115	11151|11152		315	5	user.xp:200	30	315	dress.181:1	515	5	user.xp:200	5	515	2	715	473	30	100	5	0	0	1	    乐陵历史悠久，早石器时代就有氏族部落生息繁衍。尧、舜、禹时期属古兖州域。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
116	30	1	648	116	116.白马	5	7	0	2	0	3822.54	2759.27	112|280|-160|-75|100	10	0	0	0		1		1	21161|21162	116	5	user.xp:200	99	116	11161|11162		316	5	user.xp:200	30	316	dress.182:1	516	5	user.xp:200	5	516	2	716	481	30	100	5	0	0	1	    建安五年二月，冀州牧袁绍进军黎阳，派大将颜良进围白马，攻东郡太守刘延，以保障主力渡河南进。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
117	30	1	648	117	117.任城	4	3	0	2	0	4211.4	2666.47	117|280|-20|-75|100	11	0	0	0		1	equip.451001.0:1,material.200003:6	1	21171|21172	117	5	user.xp:200	99	117	11171|11172		317	5	user.xp:200	30	317	dress.183:1	517	5	user.xp:200	5	517	2	717	490	30	100	5	0	0	1	    任城地处鲁中南泰沂蒙山麓倾斜平原与鲁西南黄泛平原交接洼地的中心地带，属山东地台尼山穹窿与鲁西沉降带之结合部。曹操之子曹彰的地盘。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
118	30	1	648	118	118.济南	2	7	0	2	0	4450.28	2817.66	117|280|-20|-75|100	11	0	0	0		1		1	21181|21182	118	5	user.xp:200	99	118	11181|11182		318	5	user.xp:200	30	318	dress.184:1	518	5	user.xp:200	5	518	2	718	499	30	100	5	0	0	1	    济南因境内泉水众多，被称为“泉城”，素有“四面荷花三面柳，一城山色半城湖”的美誉，史前文化龙山文化的发祥地之一。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
119	31	1	678	119	119.小沛	5	6	1	2	1	4720.83	2684.25	119|1|-150|-100|200	11	0	0	0		1	equip.651001.0:1,material.200003:8	1	21191|21192	119	5	user.xp:200	99	119	11191|11192		319	5	user.xp:200	30	319	dress.185:1	519	5	user.xp:200	5	519	2	719	508	30	100	5	0	0	1	    东汉末年曹操是沛国西部的谯县人氏，他将原沛国包括郡治相县在内的绝大部分划归新建的谯郡，沛国范围大大缩小，沛国治所也迁移到了北部的沛县。在徐州争夺战中，吕布和刘备在此地大动干戈，曹操也加入了战局。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
120	31	90	678	120	120.临淄	7	8	0	2	0	4623.22	2985.29	119|1|-150|-100|200	11	0	0	0		1		1	21201|21202	120	5	user.xp:200	99	120	11201|11202		320	5	user.xp:200	30	320	dress.186:1	520	5	user.xp:200	5	520	2	720	516	30	100	5	0	0	1	    临淄为魏国青州州治、齐郡郡治、临淄县治所在地。区境分属临淄县、东安平县、西安县、新汶县，地处鲁中丘陵与鲁北平原交接地带，位于淄博东北部。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
121	31	1	678	121	121.琅琊	7	5	1	2	0	4995.56	2836.29	119|1|-150|-100|200	11	0	0	0		1	equip.251001.0:1,material.200003:8	1	21211|21212	121	5	user.xp:200	99	121	11211|11212		321	5	user.xp:200	30	321	dress.181:1	521	5	user.xp:200	5	521	2	721	525	30	100	5	0	0	1	    琅琊是中华文明的重要发祥地之一。是一座有着悠久历史的神秘古城。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
122	31	1	678	122	122.北海	1	2	1	2	1	5211.44	3004.2	119|1|-150|-100|200	12	0	0	0		1		1	21221|21222	122	5	user.xp:200	99	122	11221|11222	card.10016:1	322	5	user.xp:200	30	322	dress.182:1	522	5	user.xp:200	5	522	2	722	534	30	100	5	0	0	1	    治营陵，后汉徙治据，后其封其诸王在此，改称为“北海国”。孔融曾任此地的太守，抵挡黄巾军。而在官渡之战前，则由袁谭统治。	三国名将%s隐居于此，与其切磋获胜后可以获得%s的武将碎片，集齐%d个%s碎片可以合成获得一个%s武将卡牌。
