等级	君主升级经验	君至本级后体力回复量	可觉醒部位数	英雄升级消耗	英雄升级消耗返还	搜寻任务刷新消耗钻石	巨龙技能基础攻击（重要）	出战武将数量	战队雕像赏赐掉落ID	领地金币堆	领地经验药水堆	技能槽位数量	训练馆产出经验	金矿产出	训练经验	君主经验（暂时不用）	拥军时间金币奖励	佣兵雇佣金币奖励	小兵技能升级消耗	祭坛奖励倍率1	祭坛奖励倍率2	祭坛奖励倍率3	祭坛奖励倍率4	群雄支持荣誉令牌奖励	皇城争霸挑战奖励	矿镐恢复上限	世界聊天次数上限1	功能开启展示	新手引导标识	我要变强_领主等级	我要变强_觉醒等级
203	3090000	0	3	user.gold:-984000,user.hero_exp:-2260000	user.gold:54003460,user.hero_exp:134944780	10	175200	7	7401	user.gold:3800	user.hero_exp:28000	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
204	3120000	0	3	user.gold:-995000,user.hero_exp:-2290000	user.gold:54987460,user.hero_exp:137204780	10	176500	7	7401	user.gold:3800	user.hero_exp:28100	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
205	3140000	0	3	user.gold:-1010000,user.hero_exp:-2310000	user.gold:55982460,user.hero_exp:139494780	10	177750	7	7401	user.gold:3800	user.hero_exp:28200	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
206	3180000	0	3	user.gold:-1020000,user.hero_exp:-2340000	user.gold:56992460,user.hero_exp:141804780	10	179000	7	7401	user.gold:3800	user.hero_exp:28300	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
207	3210000	0	3	user.gold:-1030000,user.hero_exp:-2360000	user.gold:58012460,user.hero_exp:144144780	10	180250	7	7401	user.gold:3900	user.hero_exp:28400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
208	3240000	0	3	user.gold:-1040000,user.hero_exp:-2390000	user.gold:59042460,user.hero_exp:146504780	10	181500	7	7401	user.gold:3900	user.hero_exp:28500	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
209	3270000	0	3	user.gold:-1060000,user.hero_exp:-2410000	user.gold:60082460,user.hero_exp:148894780	10	182800	7	7401	user.gold:3900	user.hero_exp:28600	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
210	3310000	0	3	user.gold:-1070000,user.hero_exp:-2460000	user.gold:61142460,user.hero_exp:151304780	10	184150	7	7401	user.gold:3900	user.hero_exp:28800	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
211	3340000	0	3	user.gold:-1090000,user.hero_exp:-2490000	user.gold:62212460,user.hero_exp:153764780	10	185700	7	7401	user.gold:3900	user.hero_exp:28900	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
212	3380000	0	3	user.gold:-1100000,user.hero_exp:-2520000	user.gold:63302460,user.hero_exp:156254780	10	187050	7	7401	user.gold:3900	user.hero_exp:29000	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
213	3420000	0	3	user.gold:-1120000,user.hero_exp:-2550000	user.gold:64402460,user.hero_exp:158774780	10	188450	7	7401	user.gold:3900	user.hero_exp:29100	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
214	3460000	0	3	user.gold:-1130000,user.hero_exp:-2590000	user.gold:65522460,user.hero_exp:161324780	10	189850	7	7401	user.gold:4000	user.hero_exp:29200	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
215	3510000	0	3	user.gold:-1150000,user.hero_exp:-2620000	user.gold:66652460,user.hero_exp:163914780	10	191200	7	7401	user.gold:4000	user.hero_exp:29300	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
216	3550000	0	3	user.gold:-1170000,user.hero_exp:-2660000	user.gold:67802460,user.hero_exp:166534780	10	194000	7	7401	user.gold:4000	user.hero_exp:29500	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
217	3590000	0	3	user.gold:-1180000,user.hero_exp:-2690000	user.gold:68972460,user.hero_exp:169194780	10	195350	7	7401	user.gold:4000	user.hero_exp:29600	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
218	3640000	0	3	user.gold:-1200000,user.hero_exp:-2730000	user.gold:70152460,user.hero_exp:171884780	10	196700	7	7401	user.gold:4000	user.hero_exp:29700	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
219	3690000	0	3	user.gold:-1220000,user.hero_exp:-2770000	user.gold:71352460,user.hero_exp:174614780	10	198050	7	7401	user.gold:4000	user.hero_exp:29800	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	3
220	3720000	0	4	user.gold:-1230000,user.hero_exp:-2790000	user.gold:72572460,user.hero_exp:177384780	10	199400	7	7401	user.gold:4100	user.hero_exp:29900	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
221	3750000	0	4	user.gold:-1240000,user.hero_exp:-2820000	user.gold:73802460,user.hero_exp:180174780	10	201050	7	7401	user.gold:4100	user.hero_exp:30000	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
222	3780000	0	4	user.gold:-1260000,user.hero_exp:-2840000	user.gold:75042460,user.hero_exp:182994780	10	202650	7	7401	user.gold:4100	user.hero_exp:30200	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
223	3810000	0	4	user.gold:-1270000,user.hero_exp:-2870000	user.gold:76302460,user.hero_exp:185834780	10	204250	7	7401	user.gold:4100	user.hero_exp:30300	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
224	3850000	0	4	user.gold:-1280000,user.hero_exp:-2900000	user.gold:77572460,user.hero_exp:188704780	10	206550	7	7401	user.gold:4100	user.hero_exp:30400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
225	3880000	0	4	user.gold:-1300000,user.hero_exp:-2920000	user.gold:78852460,user.hero_exp:191604780	10	208250	7	7401	user.gold:4100	user.hero_exp:30500	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
226	3920000	0	4	user.gold:-1310000,user.hero_exp:-2960000	user.gold:80152460,user.hero_exp:194524780	10	210000	7	7401	user.gold:4200	user.hero_exp:30700	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
227	3950000	0	4	user.gold:-1330000,user.hero_exp:-2990000	user.gold:81462460,user.hero_exp:197484780	10	211750	7	7401	user.gold:4200	user.hero_exp:30800	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
228	4000000	0	4	user.gold:-1350000,user.hero_exp:-3020000	user.gold:82792460,user.hero_exp:200474780	10	213450	7	7401	user.gold:4200	user.hero_exp:30900	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
229	4030000	0	4	user.gold:-1370000,user.hero_exp:-3060000	user.gold:84142460,user.hero_exp:203494780	10	215150	7	7401	user.gold:4200	user.hero_exp:31000	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
230	4080000	0	4	user.gold:-1380000,user.hero_exp:-3100000	user.gold:85512460,user.hero_exp:206554780	10	216850	7	7401	user.gold:4200	user.hero_exp:31200	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
231	4120000	0	4	user.gold:-1400000,user.hero_exp:-3130000	user.gold:86892460,user.hero_exp:209654780	10	225000	7	7401	user.gold:4200	user.hero_exp:31300	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
232	4160000	0	4	user.gold:-1420000,user.hero_exp:-3170000	user.gold:88292460,user.hero_exp:212784780	10	226650	7	7401	user.gold:4300	user.hero_exp:31400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
233	4210000	0	4	user.gold:-1440000,user.hero_exp:-3200000	user.gold:89712460,user.hero_exp:215954780	10	228300	7	7401	user.gold:4300	user.hero_exp:31500	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
234	4260000	0	4	user.gold:-1460000,user.hero_exp:-3240000	user.gold:91152460,user.hero_exp:219154780	10	229950	7	7401	user.gold:4300	user.hero_exp:31700	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
235	4310000	0	4	user.gold:-1480000,user.hero_exp:-3280000	user.gold:92612460,user.hero_exp:222394780	10	231550	7	7401	user.gold:4300	user.hero_exp:31800	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
236	4360000	0	4	user.gold:-1500000,user.hero_exp:-3330000	user.gold:94092460,user.hero_exp:225674780	10	233200	7	7401	user.gold:4300	user.hero_exp:32000	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
237	4410000	0	4	user.gold:-1520000,user.hero_exp:-3370000	user.gold:95592460,user.hero_exp:229004780	10	235000	7	7401	user.gold:4400	user.hero_exp:32100	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
238	4470000	0	4	user.gold:-1540000,user.hero_exp:-3420000	user.gold:97112460,user.hero_exp:232374780	10	236600	7	7401	user.gold:4400	user.hero_exp:32200	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
239	4520000	0	4	user.gold:-1560000,user.hero_exp:-3460000	user.gold:98652460,user.hero_exp:235794780	10	238250	7	7401	user.gold:4400	user.hero_exp:32300	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	240	4
240	4540000	0	5	user.gold:-1580000,user.hero_exp:-3480000	user.gold:100212460,user.hero_exp:239254780	10	239550	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
241	4560000	0	5	user.gold:-1590000,user.hero_exp:-3500000	user.gold:101792460,user.hero_exp:242734780	10	241800	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
242	4580000	0	5	user.gold:-1600000,user.hero_exp:-3510000	user.gold:103382460,user.hero_exp:246234780	10	243150	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
243	4590000	0	5	user.gold:-1610000,user.hero_exp:-3530000	user.gold:104982460,user.hero_exp:249744780	10	244450	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
244	4610000	0	5	user.gold:-1620000,user.hero_exp:-3550000	user.gold:106592460,user.hero_exp:253274780	10	245750	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
245	4630000	0	5	user.gold:-1640000,user.hero_exp:-3570000	user.gold:108212460,user.hero_exp:256824780	10	247100	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
246	4660000	0	5	user.gold:-1650000,user.hero_exp:-3600000	user.gold:109852460,user.hero_exp:260394780	10	248400	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
247	4680000	0	5	user.gold:-1660000,user.hero_exp:-3620000	user.gold:111502460,user.hero_exp:263994780	10	249700	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
248	4700000	0	5	user.gold:-1680000,user.hero_exp:-3640000	user.gold:113162460,user.hero_exp:267614780	10	251000	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
249	4730000	0	5	user.gold:-1690000,user.hero_exp:-3670000	user.gold:114842460,user.hero_exp:271254780	10	252300	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
250	4750000	0	5	user.gold:-1710000,user.hero_exp:-3690000	user.gold:116532460,user.hero_exp:274924780	10	253550	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
251	4780000	0	5	user.gold:-1730000,user.hero_exp:-3720000	user.gold:118242460,user.hero_exp:278614780	10	254850	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
252	4810000	0	5	user.gold:-1740000,user.hero_exp:-3750000	user.gold:119972460,user.hero_exp:282334780	10	256150	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
253	4840000	0	5	user.gold:-1760000,user.hero_exp:-3770000	user.gold:121712460,user.hero_exp:286084780	10	258050	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
254	4870000	0	5	user.gold:-1780000,user.hero_exp:-3800000	user.gold:123472460,user.hero_exp:289854780	10	259350	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
255	4900000	0	5	user.gold:-1800000,user.hero_exp:-3830000	user.gold:125252460,user.hero_exp:293654780	10	260600	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
256	4940000	0	5	user.gold:-1810000,user.hero_exp:-3870000	user.gold:127052460,user.hero_exp:297484780	10	261900	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
257	4970000	0	5	user.gold:-1840000,user.hero_exp:-3900000	user.gold:128862460,user.hero_exp:301354780	10	263200	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
258	5010000	0	5	user.gold:-1860000,user.hero_exp:-3940000	user.gold:130702460,user.hero_exp:305254780	10	264450	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
259	5050000	0	5	user.gold:-1880000,user.hero_exp:-3970000	user.gold:132562460,user.hero_exp:309194780	10	265700	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	5
260	5060000	0	6	user.gold:-1900000,user.hero_exp:-3990000	user.gold:134442460,user.hero_exp:313164780	10	266950	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
261	5080000	0	6	user.gold:-1910000,user.hero_exp:-4010000	user.gold:136342460,user.hero_exp:317154780	10	268450	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
262	5090000	0	6	user.gold:-1920000,user.hero_exp:-4030000	user.gold:138252460,user.hero_exp:321164780	10	269700	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
263	5110000	0	6	user.gold:-1940000,user.hero_exp:-4050000	user.gold:140172460,user.hero_exp:325194780	10	270950	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
264	5130000	0	6	user.gold:-1950000,user.hero_exp:-4070000	user.gold:142112460,user.hero_exp:329244780	10	272700	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
265	5160000	0	6	user.gold:-1970000,user.hero_exp:-4090000	user.gold:144062460,user.hero_exp:333314780	10	274600	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
266	5180000	0	6	user.gold:-1990000,user.hero_exp:-4110000	user.gold:146032460,user.hero_exp:337404780	10	276500	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
267	5200000	0	6	user.gold:-2000000,user.hero_exp:-4140000	user.gold:148022460,user.hero_exp:341514780	10	278400	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
268	5230000	0	6	user.gold:-2020000,user.hero_exp:-4170000	user.gold:150022460,user.hero_exp:345654780	10	280300	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
269	5250000	0	6	user.gold:-2040000,user.hero_exp:-4190000	user.gold:152042460,user.hero_exp:349824780	10	282150	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
270	5280000	0	6	user.gold:-2060000,user.hero_exp:-4220000	user.gold:154082460,user.hero_exp:354014780	10	284050	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
271	5310000	0	6	user.gold:-2080000,user.hero_exp:-4250000	user.gold:156142460,user.hero_exp:358234780	10	285900	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
272	5340000	0	6	user.gold:-2100000,user.hero_exp:-4280000	user.gold:158222460,user.hero_exp:362484780	10	287800	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
273	5370000	0	6	user.gold:-2120000,user.hero_exp:-4310000	user.gold:160322460,user.hero_exp:366764780	10	289650	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
274	5400000	0	6	user.gold:-2140000,user.hero_exp:-4340000	user.gold:162442460,user.hero_exp:371074780	10	291500	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
275	5430000	0	6	user.gold:-2160000,user.hero_exp:-4370000	user.gold:164582460,user.hero_exp:375414780	10	293350	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
276	5470000	0	6	user.gold:-2190000,user.hero_exp:-4410000	user.gold:166742460,user.hero_exp:379784780	10	295250	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
277	5500000	0	6	user.gold:-2210000,user.hero_exp:-4440000	user.gold:168932460,user.hero_exp:384194780	10	297100	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
278	5540000	0	6	user.gold:-2230000,user.hero_exp:-4480000	user.gold:171142460,user.hero_exp:388634780	10	298950	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
279	5580000	0	6	user.gold:-2260000,user.hero_exp:-4520000	user.gold:173372460,user.hero_exp:393114780	10	301350	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	6
280	5590000	0	6	user.gold:-2280000,user.hero_exp:-4540000	user.gold:175632460,user.hero_exp:397634780	10	303150	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
281	5610000	0	6	user.gold:-2290000,user.hero_exp:-4560000	user.gold:177912460,user.hero_exp:402174780	10	305250	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
282	5630000	0	6	user.gold:-2310000,user.hero_exp:-4580000	user.gold:180202460,user.hero_exp:406734780	10	307350	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
283	5650000	0	6	user.gold:-2330000,user.hero_exp:-4600000	user.gold:182512460,user.hero_exp:411314780	10	309400	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
284	5670000	0	6	user.gold:-2350000,user.hero_exp:-4630000	user.gold:184842460,user.hero_exp:415914780	10	311500	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
285	5690000	0	6	user.gold:-2370000,user.hero_exp:-4650000	user.gold:187192460,user.hero_exp:420544780	10	313550	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
286	5720000	0	6	user.gold:-2390000,user.hero_exp:-4680000	user.gold:189562460,user.hero_exp:425194780	10	315650	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
287	5740000	0	6	user.gold:-2410000,user.hero_exp:-4700000	user.gold:191952460,user.hero_exp:429874780	10	317700	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
288	5770000	0	6	user.gold:-2430000,user.hero_exp:-4730000	user.gold:194362460,user.hero_exp:434574780	10	321950	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
289	5790000	0	6	user.gold:-2460000,user.hero_exp:-4760000	user.gold:196792460,user.hero_exp:439304780	10	324250	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
290	5820000	0	6	user.gold:-2480000,user.hero_exp:-4790000	user.gold:199252460,user.hero_exp:444064780	10	326500	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
291	5850000	0	6	user.gold:-2500000,user.hero_exp:-4820000	user.gold:201732460,user.hero_exp:448854780	10	329100	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
292	5880000	0	6	user.gold:-2530000,user.hero_exp:-4850000	user.gold:204232460,user.hero_exp:453674780	10	331350	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
293	5910000	0	6	user.gold:-2550000,user.hero_exp:-4890000	user.gold:206762460,user.hero_exp:458524780	10	333600	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
294	5940000	0	6	user.gold:-2580000,user.hero_exp:-4920000	user.gold:209312460,user.hero_exp:463414780	10	342050	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
295	5980000	0	6	user.gold:-2610000,user.hero_exp:-4960000	user.gold:211892460,user.hero_exp:468334780	10	344300	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
296	6010000	0	6	user.gold:-2640000,user.hero_exp:-5000000	user.gold:214502460,user.hero_exp:473294780	10	346500	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
297	6050000	0	6	user.gold:-2670000,user.hero_exp:-5030000	user.gold:217142460,user.hero_exp:478294780	10	348750	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
298	6090000	0	6	user.gold:-2700000,user.hero_exp:-5070000	user.gold:219812460,user.hero_exp:483324780	10	351000	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
299	6130000	0	6	user.gold:-2730000,user.hero_exp:-5110000	user.gold:222512460,user.hero_exp:488394780	10	353200	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	300	7
300	6140000	0	6	user.gold:-2760000,user.hero_exp:-5160000	user.gold:225242460,user.hero_exp:493504780	10	355400	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
301	6160000	0	6	user.gold:-2780000,user.hero_exp:-5180000	user.gold:228002460,user.hero_exp:498664780	10	358450	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
302	6180000	0	6	user.gold:-2810000,user.hero_exp:-5200000	user.gold:230782460,user.hero_exp:503844780	10	361150	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
303	6200000	0	6	user.gold:-2830000,user.hero_exp:-5230000	user.gold:233592460,user.hero_exp:509044780	10	363350	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
304	6220000	0	6	user.gold:-2850000,user.hero_exp:-5260000	user.gold:236422460,user.hero_exp:514274780	10	365600	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
305	6250000	0	6	user.gold:-2880000,user.hero_exp:-5280000	user.gold:239272460,user.hero_exp:519534780	10	367800	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
306	6270000	0	6	user.gold:-2910000,user.hero_exp:-5310000	user.gold:242152460,user.hero_exp:524814780	10	370050	7	7401	user.gold:4400	user.hero_exp:32400	5	15000	30	587000	988	166	5976	0	100	100	100	100	100	user.salary:50	560	200	0	0	360	8
