关键字	英文
TERRITORIAL_WAL_MSG8	Endurance Lowered
TERRITORIAL_WAL_MSG9	Not Enough Endurance
TERRITORIAL_WAL_MSG10	Endurance Damaged
TERRITORIAL_WAL_MSG11	Buy Mobility
TERRITORIAL_WAL_MSG12	Free
TERRITORIAL_WAL_MSG13	Formation Timeout
TERRITORIAL_WAL_MSG14	Max formation time exceeded
TERRITORIAL_WAL_MSG15	You and the enemy perish together.
TERRITORIAL_WAL_MSG16	You opened an ally screen.
TERRITORIAL_WAL_MSG17	You closed an ally screen.
TERRITORIAL_WAL_MSG18	Invade enemy legions to raid their boss.
TERRITORIAL_WAL_HIT1	Challenges consume 1 Infinity Puppet.
TERRITORIAL_WAL_HIT2	You don\'t have any Mystery Boxes
TERRITORIAL_WAL_HIT3	Not enough diamonds to open
TERRITORIAL_WAL_HIT4	Not enough diamonds to speedup
TERRITORIAL_WAL_HIT5	%s successfully opened
TERRITORIAL_WAL_HIT6	%s has been occupied
TERRITORIAL_WAL_HIT7	Exploration complete, rewards have been sent out in the mail.
TERRITORIAL_WAL_HIT8	Speedup Successful
TERRITORIAL_WAL_HIT9	Legion disbanded
TERRITORIAL_WAL_HIT10	Territory War reset
TERRITORIAL_WAL_HIT11	Moving will consume %d Mobility.
TERRITORIAL_WAL_HIT12	Current Owner
TERRITORIAL_WAL_HIT13	Territory Boss
TERRITORIAL_WAL_HIT14	This challenge is free
TERRITORIAL_WAL_HIT15	Start Battle
TERRITORIAL_WAL_HIT16	Finished
TERRITORIAL_WAL_HIT17	Daily
TERRITORIAL_WAL_HIT18	Rank Rewards are sent out in the mail.
TERRITORIAL_WAL_HIT19	Boss Legion Owner
TERRITORIAL_WAL_HIT20	All members
TERRITORIAL_WAL_HIT21	earn the Ownership Reward
TERRITORIAL_WAL_HIT22	Individual Reward
TERRITORIAL_WAL_HIT23	Ownership Reward
TERRITORIAL_WAL_HIT24	Boss Owner
TERRITORIAL_WAL_HIT25	Damage Points
TERRITORIAL_WAL_HIT26	Rank Reward
TERRITORIAL_WAL_HIT27	Individual Rankings
TERRITORIAL_WAL_HIT28	Legion Rankings
TERRITORIAL_WAL_HIT29	None
TERRITORIAL_WAL_HIT30	No ranked legions
TERRITORIAL_WAL_HIT31	No ranked players
TERRITORIAL_WAL_HIT32	Not refreshed
TERRITORIAL_WAL_HIT33	Daily challenge time:
TERRITORIAL_WAL_HIT34	Top Damage Legion
TERRITORIAL_WAL_HIT35	Receive
TERRITORIAL_WAL_HIT36	Legion
TERRITORIAL_WAL_HIT37	Owned
TERRITORIAL_WAL_HIT38	Dragon Mark
TERRITORIAL_WAL_HIT39	Challenge bosses to earn points
TERRITORIAL_WAL_HIT40	Crush
TERRITORIAL_WAL_HIT41	Unable to reach destination
TERRITORIAL_WAL_HIT42	An enemy player has defeated you
TERRITORIAL_WAL_HIT43	Individual
TERRITORIAL_WAL_HIT44	Progress
TERRITORIAL_WAL_HIT45	Tap to move
TERRITORIAL_WAL_HIT46	Rules
TERRITORIAL_WAL_HIT47	Buildings
TERRITORIAL_WAL_HIT48	Resources
TERRITORIAL_WAL_HIT49	Territory Rules
TERRITORIAL_WAL_HIT50	All Legion Stat Bonus
TERRITORIAL_WAL_HIT51	Mobility Full
TERRITORIAL_WAL_HIT52	Shards Full
TERRITORIAL_WAL_HIT56	Level up %s to increase %s shard production speed and storage capacity.
TERRITORIAL_WAL_HIT57	Unknown
PAGE_DAY_RECHARGE_DESC_1	Buy every day during the event
PAGE_DAY_RECHARGE_DESC_2	to claim Carnival Benefits!
PAGE_DAY_RECHARGE_DESC_3	Total Purchases
PAGE_DAY_RECHARGE_DESC_4	Daily purchases:
PAGE_ACCUMULATE_RECHARGE_DESC_1	During the event, buy a total of
PAGE_ACCUMULATE_RECHARGE_DESC_2	Buy Now
TERRITORIAL_WAL_HIT58	Legion Leader
TERRITORIAL_WAL_HIT59	You\'re already in this legion\'s territory
OPEN_TIME_DESC	Opens in:
ACTIVITY_GO_CASH	Buy Now
NEWTEXT_DESC_1	Points Rankings
NEWTEXT_DESC_2	Player is not your friend, unable to send.
STR_INFO	Details
STR_TUPO	Transcend
STR_AUTO_TUPO	Quick Transcend
STR_AUTO_TUPO_1	Quick Transcend
STR_AUTO_TUPO_2	Select transcend amount
STR_AUTO_TUPO_3	Consumes the following materials
STR_AUTO_TUPO_4	Transcend to
STR_AUTO_UPGRADESTAR_1	Quick Rank Up
STR_AUTO_UPGRADESTAR_2	Quick Rank Up
STR_AUTO_UPGRADESTAR_3	Select Rank Up amount
STR_ACTIVEATT	Stat Activation
STR_TIANMING	Fate
STR_SOLDIER	Army
STR_TAOZHUANG	Set
STR_TOTAL_FIGHTFORCE	Gear Rating
STR_EQUIP_FIGHTFORCE	Gear Rating
STR_EQUIPED_FIGHTFORCE	Rating on Equip
STR_MAIN	Main
STR_DEPUTY	Secondary
STR_ROLELIST_BTN_1	Deploy Commander
STR_ROLELIST_BTN_2	Commander Shard
STR_ROLELIST_BTN_3	Commander Card
STR_ROLELIST_DES_1	Base Stats
STR_ROLELIST_DES_2	Artifact Stats
STR_ROLELIST_DES_3	Gem Stats
STR_ROLELIST_DES_4	No stats
STR_ROLE_LVUP_DES1	Level Up 1
STR_ROLE_LVUP_DES2	Spend the following EXP Pills to increase by 1 level?
STR_ROLE_LVUP_DES3	You don\'t have enough EXP Pills to level up %s
STR_ASSIST	Deploy
STR_EXCHANGE	Exchange
STR_EXCHANGE_1	Exchange
STR_HAD_EXCHANGE	Exchanged
EXCHANGE_EGG	Exchange Materials
STR_SKILL	Skill
STR_DESTINY	Destiny
STR_GETWAY	Amount Owned
STR_POSOPEN	New Commander to Deploy
STR_POSCANTOPEN4	Lord reaches Lv.%d to unlock the Friends feature. 
STR_POSCANTOPEN5	Clear stage %s to unlock the Friends feature. 
STR_RESOLVE	Deconstruct
STR_MERGE	Craft
STR_MERGE_1	Craft
STR_MERGE_ALL	Craft All
STR_HUOQU	Acquire
STR_MERGE_DES1	Not enough shards
STR_ATT	Hero Stats
STR_ATTFIGHT	Battle Stats
STR_ATT1	Attack
STR_ATT2	HP
STR_ATT3	Physical DEF
STR_ATT4	Magic DEF
STR_TIANMINGLV	Fate Lv.        
STR_TIANMINGINFO	Note: Upgrade Fate to increase commander skill level.
STR_PUTON	Equip
STR_NEEDTUPOLV	Required level: %d/%d
STR_TUPOMAX	Max Transcend
STR_FIGHT_NORMAL_FIRST	Challenge normal stages first.
STR_NO_TIMES	No times remaining
STR_NEED_THREE_STAR	Get 3 stars to sweep
STR_NEED_NAME	Please enter your name
STR_INPUT_PASSWORD	Tap to enter password
STR_INPUT_PAPER	Tap to enter ID number
STR_INPUT_ONLY	Letters, numbers and symbols only
STR_INPUT_LEN	Account and password must be 6-16 characters
STR_INPUT_PAPER_ERROR	ID number invalid
STR_MAX_PROGRESS_CAN_EXPLORE	You need %d more stars to unlock. Get starts by completing normal or elite stages.
STR_NEED_TIMES	Sweep times cannot be 0.
STR_ACCELERATE_DESC	Speedup the search to immediately receive 2 hours worth of benefits. Do you want to spend %d?
STR_CONSUME	spend
STR_HAVE	Already have
GETWAY_DESC1	Not open!
GETWAY_EQUIP0	Random 0 stats
GETWAY_EQUIP1	Random 1 stats
GETWAY_EQUIP2	Random 2 stats
GETWAY_EQUIP3	Random 3 stats
GETWAY_EQUIP4	Random 4 stats
GETWAY_GOD1	1 Artifact Stat 
GETWAY_GOD2	2 Artifact Stat 
STR_TIANMINGZHI	Fate
STR_UPPERCENT1	Very small chance to level up
STR_UPPERCENT2	Small chance to level up
STR_UPPERCENT3	Chance to level up
STR_UPPERCENT4	High chance to level up
STR_UPPERCENT5	Very high chance to level up
STR_UPPERCENT6	Level Up Rate
STR_GEM	Gem
STR_GODEQUIP_STARNUM	%d-star Artifact
STR_GOLD_NOTENOUGH	Not enough gold
STR_ACTIVATE_GOD_REFINE_1	[Slot refine +%d Activate  Activated]
STR_ACTIVATE_GOD_REFINE_2	[Slot refine +%d Activate  Not activated]
NEED_SELECT_EQUIP_FIRST	Select gear
EQUIP_NOTHAVE_GOD	This gear is not an Artifact
INHERIT_SUCCESS	Inherit Successful!
STR_YU2	Slot refine:
STR_YU3	Slot Refine
STR_GONGTONGSHANGZHENG	Deploy Together
STR_TIGAO	Increase
MAX_LV	Max level
MEGRE_FAIL	Craft Failed
MEGRE_SUCC	Craft Successful
LVUP_SUCC	Upgrade Successful, you got %s
LVUP_FAIL	Level Up Error
LVUP_FAIL2	Level cannot exceed lord level
LVUP_FAIL3	Energy +%d
STR_THE_FIGHTING	Battle %s
STR_NEED_LV	Requires Lv.%d
STR_STAR_LV	Requires %d stars
STR_NEED_OCCUPIED	Occupy %s first
STR_ATTFIGHT_DESC5	Increases hit rate
STR_ATTFIGHT_DESC6	Increases dodge rate
STR_ATTFIGHT_DESC7	Increases crit rate
STR_ATTFIGHT_DESC8	Increases Anti-Crit rate
STR_PATROL_TIME	Patrolled for %s hours %s minutes
STR_NEED	Costs %d 
STR_PATROL_TIMES	Daily search speedups remaining: %d  times
STR_PATROL_MAXTIME	Max search time reached
STR_PATROL_MAX_TIMES	No search speedups remaining
STR_RESOLVE_ONE	Deconstruct 1 card to get
STR_XP	EXP
SOLDIERNUM	Troop capacity:
SOLDIERLV	Level:
SOLDIERDESC	(Legion level is determined by commander level)
STR_MAIN_NAME	Lord
HAVENO_HERO	No commanders
HAVENO_CHIP	No commander shards
SOIDIER_SKILLCANNT_LVUP	Skill level cannot exceed commander level.
EQUIP1	Equip
ROLE_RESOLVE	Deconstruct Commander
QUALITY_DESC	Quality
CRAD	Cards
GLOBALGET	Total
SOLDIERSKILL	Legion Enhance
SOLDIERINFO	Advance Troops
SOLDIERINFO_DESC1	Current Units
SOLDIERINFO_DESC2	Unlocked
SOLDIERINFO_DESC3	Rank to unlock
SOLDIERINFO_DESC4	MAX
SOLDIERSKILLLIMIT	Rank %d to unlock
SOLDIERLVUP	Advance
SOLDIERLVUP1	Advance
SOLDIERARM	Equip
EXPDESC	Tap the icon to use, hold to use continuously.
GEMLIST	Gem List
EQUIPLIST	Gear List
GETWAY	Acquisition
INFO	Info
INHERIT	Inheritance
INHERIT_1	Inheritance
EXCHANGE	Switch
DISCHRGE	Remove
REFINE	Reroll
REFINE_1	Quick Reroll
REFINE_SUCC	Reroll Successful
ROLESEL	Select Commander
NUMS	Amount
AUTOUNDRESS	Quick Remove
UPGRADE	Upgrade
UPGRADE1	Level Up
UPGRADE2	Upgrade
STR_BUILD	Build
STR_BUILD_1	Build
GEMEQUIPINFO	Tap an empty slot to inlay gems.
GEMUPGRADE	Gem Upgrade
GEMUPGERADE_DESC1	Not enough materials to craft this gem.
GEMUPGERADE_DESC2	Energy is shared among all gems. Get full energy to upgrade.
GEMUPGERADE_NEED	Upgrade Costs
GEMUPGERADE_DESC3	Tap the icon to use
GEMUPGERADE_VALUE	Energy
GEM_PAGE_1	ATK Gem
GEM_PAGE_2	Physical DEF Gem
GEM_PAGE_3	Magic DEF Gem
GEM_PAGE_4	HP Gem
GEM_MERGE_DESC_1	Craft Amount
GEM_MERGE_DESC_2	Craft Number
GEM_MERGE_DESC_3	Item Cost
GEM_MERGE_DESC_4	Gem Craft
NO_EQUIP_FOR_FUSION	No gear to fuse
FUSION_DESC_1	Used to Rank Up commanders.
AUTO_FUSION	Mass Smelt
FUSION	Smelt
DISMANTLING	Disassemble
DISMANTLING_DESC	Ancient Gear can be disassembled into advanced Ancient Gear Shards.
DISMANTLING_DESC_1	Deconstruct is coming soon
COLOR_EQUIP_1	Common Gear
COLOR_EQUIP_2	Uncommon Gear
COLOR_EQUIP_3	Rare Gear
COLOR_EQUIP_4	Epic Gear
COLOR_EQUIP_5	Mythic Gear
FAST_FUSION_EQUIP	Smelt all gear of the corresponding quality
FAST_FUSION	Quick Smelt
FORGE	Forge
FORGE_1	Forge
FUSION_NUM	Smelt points:
FUSION_NUM1	Smelt Points
BLACKSMITH	Blacksmith
NEED_FUSION	Required smelt points to forge:
FORGE_EQUIP	Forge Gear
HAD_FUSION	Current smelt points:
REFRESH_TIMES	Daily free refreshes: %d
NEED_CASH2	Spend %d diamonds to change name?
NEED_CASH4	Spend %d diamonds to refresh hot commander?
NEED_CASH3	Spend %d diamonds to change Jade Pendant?
HAD_NOT_ENOUGH_FUSION	You don\'t have enough smelt points, please smelt more gear.
FREE_TIMES	Remaining today:
TAVERN	Recruit
TEN_TAVERN	Draw 10 to get at least 1
YELLOW_CARD	Orange Commander
NOR_TRVERN	Normal Encounter
CASH_TRVERN	Supreme Encounter
CASH_TEN_TRVERN	Ancient Encounter
TRVEN_DESC_1	To free
TRVEN_DESC_2	Recruit another
TRVEN_DESC_3	You don\'t have any recruit orders.
TRVEN_DESC_4	Are you sure you want to spend %d on a Supreme Recruit?
TRVEN_DESC_5	Guaranteed Orange Commander.
TRVEN_DESC_6	more times for Orange Commander.
TRVEN_DESC_7	You already have that commander, you can use it for high-level transcending.
TRVEN_DESC_8	Daily
TRVEN_DESC_9	:00 free chances reset
TRVEN_DESC_10	5
TRVEN_DESC_11	Server appears
TRVEN_DESC_12	and more players to unlock
TRVEN_DESC_13	Famous Recruit
TRVEN_DESC_14	Use a celebrity\'s popularity to help you recruit super commanders!
TRVEN_DESC_15	Popularity Rank
TRVEN_DESC_16	Draw Myself
TRVEN_DESC_17	Invite to Draw
TRVEN_DESC_18	Lucky One
TRVEN_DESC_19	Draw King
TRVEN_DESC_20	Lucky Star
CASH_NOT_ENOUGH	You don\'t have enough diamonds. Buy %d more diamonds to become VIP %d.
RESCPINFO_DES1	Start Battle
RESCPINFO_DES2	All Server Rankings
TAVERN_YES	Rich and willful
TAVERN_NO	Don\'t inherit
FREE_TIME	Free
FREE_NONE	No free uses remaining
GOLDMINE_LEVEL	Gold mining area:
GOLDMINE_PEOPLE_NUM	Area miners:
GOLDMINE_FIGHT_TIMES	Remaining battles with other players:
GOLDMINE_OCCUPY_TIMES	Remaining raid times:
GOLDMINE_REMAIN_TIME	Remaining mining time:
GOLDMINE_PROMPT_1	You can\'t occupy other gold mines while in truce mode.
GOLDMINE_PROMPT_2	You can\'t raid other players while in truce mode.
GOLDMINE_PROMPT_3	You can\'t retreat while in truce mode.
GOLDMINE_PROMPT_4	Player is in truce mode and cannot be raided.
GOLDMINE_PROMPT_5	Your occupation time has expired, come back again tomorrow!
GOLDMINE_PROMPT_6	Player has retreated, occupation successful!
GOLDMINE_PROMPT_7	If your raid fails the deposit goes to the mine!
GOLDMINE_OCCUPY_SUCCESS	Occupy Successful!
GOLDMINE_OCCUPY_MSG_1	Raiding requires using %s of total accumulated gold as a deposit. You don\'t have enough gold!
GOLDMINE_OCCUPY_MSG_2	After retreating all gold in the mine will be sent to you in the mail. Retreat?
GOLDMINE_ERROR_1	Another player has occupied this gold mine, try again later.
GOLDMINE_ERROR_2	Another player is raiding you, try again later.
GOLDMINE_ERROR_3	Player is in truce mode, try again later.
GOLDMINE_ERROR_4	Player is in calculation mode, try again later.
GOLDMINE_ERROR_5	You\'re in truce mode, try again later.
GOLDMINE_ERROR_6	You\'re in calculation mode, try again later.
GOLDMINE_ERROR_7	Player has retreated, occupy successful.
GOLDMINE_ERROR_8	Another player has occupied this gold mine, refresh and try again.
GOLDMINE_NAME_1	Majesty Gold Mine
GOLDMINE_NAME_2	Bountiful Gold Mine
GOLDMINE_NAME_3	Common Gold Mine
GOLDMINE_NAME_4	Poor Gold Mine
GOLDMINE_NAME_5	Exhausted Gold Mine
GOLDMINE_COLLECT_TIME	Mining time:
GOLDMINE_EXTRA_GOLD	Mine another:                 For an extra:
GOLDMINE_EXTRA_GOLD_1	Mine another:                 Get a total of:
GOLDMINE_REPORT_1	kicked
GOLDMINE_REPORT_11	out of
GOLDMINE_REPORT_2	and sent him running.
GOLDMINE_REPORT_3	and sent him running, earning
GOLDMINE_REPORT_4	Tried to kick
GOLDMINE_REPORT_5	out, but took a beating instead.
GOLDMINE_REPORT_6	out, but took a beating instead and lost
GOLDMINE_DESC_1	Abandon the current gold mine to occupy this one?
GOLDMINE_DESC_2	Raiding requires using %s of total accumulated gold as a deposit.
GOLDMINE_DESC_3	Raid victorious, you earned %d gold for your mine.
GOLDMINE_DESC_4	Not enough Stamina to mine
GOLDMINE_DESC_5	Get VIP 1 to unlock Mining Pick purchases.
GOLDMINE_DESC_6	Reach lord Lv.%d to enter the next floor
GOLDMINE_DESC_7	Lv.%d to unlock the next floor
FRIENDS_CHAT_DESC_1	Messages that haven\'t been read for a long time will be deleted.
FRIENDS_DESC_22	Attack
FRIENDS_DESC_23	Attack Reward
FRIENDS_DESC_24	Delete friend?
FRIENDS_DESC_25	Once finished rewards based on rank will be sent out in the mail.
FRIENDS_DESC_26	Points
FRIENDS_DESC_27	Add Friend
FRIENDS_DESC_28	Already friends
FRIENDS_DESC_29	Search
FRIENDS_DESC_30	Search now
FRIENDS_DESC_31	No assists remaining
FRIENDS_DESC_32	Unlocks at Lv.
FRIENDS_DESC_33	No Rank
FRIENDS_DESC_34	spend
FRIENDS_DESC_35	Points
FRIENDS_DESC_36	No requests to delete.
FRIENDS_DESC_37	You declined the player\'s friend request.
FRIENDS_DESC_38	You accepted the player\'s friend request.
FRIENDS_DESC_43	You cannot friend yourself.
FRIENDS_DESC_44	The player is not your friend, unable to challenge.
FRIENDS_DESC_45	Successfully sent or received gift
FRIENDS_DESC_46	No gifts to accept
FRIENDS_DESC_47	You declined all friend requests.
FRIENDS_DESC_48	No friends
FRIENDS_DESC_49	You sent %s a beautiful gift
FRIENDS_DESC_50	You haven\'t chosen a friend yet
CHECK_INFO_DESC1	Add Friend
CHECK_INFO_DESC2	Defensive Formation
CHECK_INFO_DESC3	Country:
CHECK_INFO_DESC4	Position:
CHECK_INFO_DESC5	Arena rank:
CHECK_INFO_DESC6	Tower rank:
POP_WINDOW_DES1	Go Now
POP_WINDOW_DES2	Go
POP_WINDOW_DES3	View Details
POP_WINDOW_DES4	Daily recharge
POP_WINDOW_DES5	a certain amount
POP_WINDOW_DES6	, to get tons of extra diamonds and
POP_WINDOW_DES7	a valuable gift.
POP_WINDOW_DES8	Weapons, wings and special transform effects
POP_WINDOW_DES9	await you!
POP_WINDOW_DES10	dollars for free
POP_WINDOW_DES11	Diamond
POP_WINDOW_DES12	Finish quests, get rewards
POP_WINDOW_DES13	Double
POP_WINDOW_DES14	production, double the joy!
POP_WINDOW_DES15	Red Commander
POP_WINDOW_DES16	Acquire and transcend at the same time!
POP_WINDOW_DES17	Fortune
POP_WINDOW_DES18	Diamond x2
POP_WINDOW_DES19	Won\'t show again today
THIS_ACTIVITY_REMAIN_TIME	Event starts in:
REMAINDER_TIME	Remaining time:
REMAINDER_TIME1	Time Remaining
REMAINDER_TIME2	Remaining time: %d days
REMAINDER_TIME3	%d days
REMAINDER_TIME4	%d days
ALL_OWNER	Global Power
CITY	City
OWNER	Occupier
REMAINDER_TIME_1	Remaining Time
NEED_FOOD_1	Ration cost:
YOU_HAD_OCCUPY_ONE_CITY	Players can only be the Governor of one city at a time. Please abandon your previous city if you want to occupy %s.
REOCCUPY_CITY	You can\'t occupy another city within %d seconds of abandoning. You have %d seconds remaining.
NOT_ENOUGH_FIGHTFORCE	Power difference is too large, please increase your power first.
FIGHTING	City is under attack, try again later.
GOTO	Go
CAN_OCCUPY_ONE_CITY	Players can only be the Governor of one city at a time. Do you want to occupy %s?
CONGRATULATIONS_TO_OCCUPY	Congrats on becoming Governor of %s!
LEAVE_THE_CITY	After abandoning you will immediately receive all rewards, but cannot occupy another city for 5 minutes. Abandon?
THE_CITY_HAD_OCCUPY	The city has been occupied by another player, please reopen the interface and check again.
MY_CITY_HAD_OCCUPY	The city is under attack by another player, please reopen the interface and check again.
CONGRATULATIONS_TO_OCCUPY_1	The previous Governor has withdrawn, congrats on becoming the Governor of %s!
RESCP_DESC1	%s times remaining today
RESCP_DESC2	Remaining today
BUY	Buy
BUY_1	Purchase
REFRESH	Refresh
REFRESH_1	Refresh
ARE_YOU_SURE_COST	My lord, are you sure you want to spend %d diamonds to refresh the store?
REFRESH_TIME	Refresh time:
REFRESH_TIME1	Refresh Time
REFRESH_TIME2	Remaining this round: %s days
NOT_ENOUGH_CASH	Not enough diamonds
NOT_ENOUGH_ARENA	Not enough merit
NOT_ENOUGH_TOWER	Not enough Tower Tokens
NOT_ENOUGH_LEGION	Not enough Legion Tokens
NOT_ENOUGH_TOKEN	Not enough Honor Tokens
NOT_ENOUGH_LEGIONWAR	Not enough Legion War currencies
NOT_ENOUGH_FOOD	Not enough rations
NOT_ENOUGH_LEGIONTIRAL	Not enough Adventure Tokens
NOT_ENOUGH_COUNTRYWAR	Not enough Legion Funds
NOT_ENOUGH_COUNTRY_SALARY	Salary too low
SUCCESS_REFRESH	Refresh successful
NOT_ENOUGH_SOUL	Not enough Commander Souls
NOT_ENOUGH_ARENA_RANK	Ring Rank too low
NOT_ENOUGH_TOWER_STAR	Total stars too low
NOT_ENOUGH_POSITION	Position too low
COST_CASH_TO_BUY	Spend %d diamonds to buy %s
DIFF_SELECT	Select Difficulty
RESCP_DESC3	Daily uses remaining: 1/3
NEED_FOOD	Ration cost: %d
LV_LIMIT	Lv.%d to unlock
CP_DESC	Stage description:
MAY_DESC	Possible loot:
STR_RETREAT	Retreat
STR_RETREAT1	Retreat
GO_AND_GET	Go Now
STR_OCCUPY	Occupy
STR_OCCUPY1	Occupy
STR_OCCUPY2	Occupy
STR_NOBODY_OCCUPY	Not Occupied
STR_RETREAT_SUCCESS	Retreat Successful
STR_GOLD_PERHOUR	Gold/hour
ACCUMULATE_GOLD	Total gold:
STR_ROB	Raid
MINE_DES1	Level:
MINE_DES2	Quantity:
MINE_DES3	Remaining time:
MINE_DES4	Previous Floor
MINE_DES5	Next Floor
MINE_DES6	View List
MINE_DES7	Quick Collect
MINE_DES8	Ore Acquired
MINE_DES9	Confirm
POWERENDDES1	Power Eliminated
STR_DRIVE	Dive Out
PRODUCE	Produces
CAN_SEE_CITY	Doesn\'t show cities you haven\'t cleared
STR_YOU	You
AUTO_EQUIP	Quick Equip
UP_SUCC	Advance Successful
EQUIP_SUCC	Equip Successful
EQUIP_FAIL	No gear to equip
EQUIP_LIMIT	Lv.X to equip
MESSAGE_3	Spend %d gold to inherit?
STR_RANK_1	Rank
STR_RANK_2	Rankings
STR_RANK_3	Rankings
STR_AWARD	Reward
STR_AWARD1	Reward
ARENA_CHALLENGE_TODAY	You can challenge     times today
ARENA_EXTRA_CHALLENGE_SUCCESS	Challenge     more times
ARENA_SUCC_GET_HONOR	Challenge and win to get %d merit.
ARENA_SUCC_GET_HONOR_EXTRA	Challenge and win %d more times to get an extra %d merit.
ARENA_RANK	Rank %d
ARENA_RANK_AREA	Rank %s
ARENA_AWARDS_INFO_1	Rank
ARENA_AWARDS_INFO_2	-
ARENA_AWARDS_INFO_3	Rank
STR_MY_HONOR	My Merit
STR_CHALLENGE	Challenge
STR_CHALLENGE1	Challenge
BUY_TIMES_OVER	Max purchases reached!
TOWER_AUTOFIGHT	3 Star Sweep
TOWER_REFRESH	Free Reset
TOWER_CASHREFRESH	Reset
TOWER_GUANQIA	Stage %d
TOWER_ATT	Current Stat Bonus
TOWER_HAVE	Can use %d
TOWER_TOWER	My merit:
TOWER_TIME	Win in %d
TOWER_DEAD	No more than %d defeated commanders
TOWER_AUTOFIGHT_DESC	Clear the stage with 3 stars to unlock Sweep
TOWER_NONEATT	No stat bonus
TOWER_AWARD_TITLE	Star Raid Reward
TOWER_STARAWARD_TITLE	Select Bonus
TOWER_RESET_NOW	Abandon your current progress and reset?
TOWER_RESET_NO	You don\'t need to reset
TOWER_TALK_1	After %s seconds you won\'t get 3 stars!
TOWER_TALK_2	If more than %s people die you won\'t get 3 stars!
TOWER_TALK_3	Endless Tower resets daily at 5:00 so you can challenge all over again!
TOWER_TALK_4	You cleared all Endless Tower stages, you\'re incredible!
TOWER_NEED_STAR	You don\'t have enough stars!
TOWER_CANUSE	Can use :
TOWER_NEED_DESC	Costs:
TOWER_AUTOEND	Sweep Complete
TOWER_NEXT	Confirm Selection
TOWER_ATTADD_DESC	Tap to select stat bonus (select multiple)
TOWER_TOTAL_STAR	Record highest stars:
TOWER_DESC_TX	Acquire special chests every 5 floors.
TOWER_DESC_1	History
TOWER_DESC_2	The last %s stages can be swept!
TOWER_DESC_3	No resets remaining! Increase VIP level to get more sweep uses!
TOWER_DESC_4	Spend %s diamonds to reset?
TOWER_DESC_5	, can use
TOWER_DESC_6	(Record highest
TOWER_DESC_7	Tower Tokens:
TOWER_DESC_8	Refresh
TOWER_DESC_9	Free
TOWER_DESC_10	Current:
TOWER_DESC_11	Remaining confirmations:
TOWER_DESC_12	No times remained
TOWER_DESC_13	You haven\'t selected any stat bonuses, are you sure you want to use up a confirmation?
SHOP	Store
SHOP_DESC_1	Win Points Matches to earn Honor Tokens.
SHOP_DESC_2	There are unpurchased Commander Cards, are you sure you want to refresh?
SHOP_DESC_3	There are unpurchased Red Commander Shards, are you sure you want to refresh?
SHOP_DESC_4	Increase VIP for more purchases!                Black Market Store resets daily at 5:00
SHOP_DESC_5	No purchases remaining
SHOP_DESC_6	%d purchases per day
SHOP_DESC_7	Target Item
SHOP_DESC_8	Rare Chests
SHOP_DESC_9	Open Chest
SHOP_DESC_10	Not enough %s
SHOP_DESC_11	You don\'t have enough %s. Spend %d diamonds to open this chest?
SHOP_DESC_12	Do you want to spend %d %s to open this chest?
SHOP_DESC_13	Not enough %s
SHOP_DESC_14	Free (%d)
SHOP_DESC_15	Some items can only be bought when you reach the corresponding position. Every Monday, items
STR_UPGRADE_STAR	Star Up
CHANGE_ROLE	Switch Commander
HAD_GOLD	Gold Owned
STR_BATTLE_REPORT	Report
STR_BATTLE_REPORT1	Report
FUSION_SUCCESS	Smelt Successful
NO_CAN_USED_EQUIP	No useable gear
FORCE_SUCCESS	Forge Successful
STR_SWALLOW	Consume
BTN_AUTO_FILTER	Auto Filter
SUIT_DESC_1	Pieces Effect
SUIT_DESC_2	No equipped artifacts
SUIT_DESC_3	All artifacts
SUIT_DESC_4	Each gear socket 4
SUIT_DESC_5	Artifact Master
SUIT_DESC_6	No equipped gear
SUIT_DESC_7	Gem Master
SUIT_DESC_8	Set Effect
SUIT_DESC_9	stars
SUIT_DESC_10	Lv.X Gem
SUIT_DESC_11	Refine Master
SUIT_DESC_12	Refine all slots to
SUIT_DESC_13	Refine Value
SUIT_DESC_14	Refine Successful
SUIT_DESC_15	Set Activation
SUIT_2	Artifact Set
SUIT_1	Ancient Set
SUIT_3	Gem Set
SUIT_4	Refine Master
NORMAL	Normal
ELITE	Elite
NORMAL2	Normal
ELITE2	Elite
RAIDS	Sweep
RAIDS2	Sweep
RAIDS_FIVE	Sweep 5x
RAIDS_TEN	Sweep 10x
RAIDS_AGAIN_1	Sweep 1 More
RAIDS_AGAIN_2	Sweep 10 More
RAIDS_AGAIN_3	Sweep 5 More
COMBAT	Spar
COMBAT2	Spar
OTHER_CAMP	Other Factions
PER_MIN_CAN_GET	Every 10 minutes
GO_FIGHITING	Campaign Stage
ACCELERATE_PATROL	Search Speedup
GAIN	Gain
GE	 
TIMES	purchases
REMAINDER_PATROL_TIMES	Daily search speedups remaining:
BEGIN	Start
UP_PATROL_TIMES	(Increase VIP level to use more search speedups)
PATROL_GET	Search
HAD_PATROL	Current Idle time:
HOUR	hours
MINUTE_HAD_GET	minutes. Earnings are shown above.
PATROL_-	Search
HAD_PATROL1	Searched
MINUTE	minutes
HAD_NUM	Currently owned: %d
RAIDS_RESULT	Sweep Results
UNIT_PRICE	Unit price: 
GET	Receive: 
ENTER_THE_NUM	Enter quantity
SELL	Sell
NUM_1	1
NUM_2	2
NUM_3	3
NUM_4	4
NUM_5	5
