等级	技能战力系数	攻击	护甲	技防	生命	无视护甲%	无视技防%	暴击伤害%	暴击减伤%	移动速度	攻击速度	伤害加成%	伤害减免%	技能暴击率%	负面抗性%	治疗加成%	掉落道具加成	掉落金币加成	初始怒气	怒气回复%	命中几率%	闪避几率%	暴击几率%	抗暴几率%	移动速度%	攻击速度%	PvP伤害加成%	PvP伤害减免%	技能伤害加成%	技能伤害减免%
332	50838	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
333	51279	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
334	51723	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
335	52167	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
336	52617	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
337	53097	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
338	53580	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
339	54060	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
340	54546	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
341	55044	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
342	55548	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
343	56106	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
344	56610	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
345	57114	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
346	57621	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
347	58131	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
348	58641	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
349	59154	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
350	59667	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
351	60183	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
352	60699	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
353	61218	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
354	61737	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
355	62259	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
356	62781	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
357	63306	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
358	63834	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
359	64362	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
360	65238	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416	2833	2833	1416	1416	708	708
