索引ID	注释1	描述	类型(1普通buff, 2光环buff)	buff模式(0:无类型，1:灼烧)	光环类型(1:不断的发送buff，并且出了范围就移除,2:只发送一次，除非发送的buff消失,出了范围不移除)	正负面(1负面2正面)	不可被驱散	是否受到负面抗性影响	效果类型(0没有效果，1普通伤害，2无视防御伤害，3召唤)	发送buffID	buff生效几率（万分比）	buff持续时间（毫秒）	范围选择目标类型(1英雄2士兵3所有单位)	范围	光环检测间隔时间(毫秒)	伤害类型（按武将类型，0物理，1魔法）	额外伤害类型	额外伤害值	伤害系数	发送第一次效果延迟时间(毫秒)	发送效果间隔时间(毫秒)	属性修改	属性值修改	属性百分比修改（万分比）	克制增幅0	克制增幅1	克制增幅2	克制增幅3	攻击吸血万分比	攻击吸血固定值	免疫负面物理效果	免疫负面魔法效果	免疫负面魔法次数	限制移动	限制普通攻击	限制释放技能	不受控制	反弹物理伤害万分比	改变技能组	变身资源名	变身资源类型	变身后缩放百分比	buff特效资源	buff特效类型(1只显示一次, 2循环特效)	buff特效挂载点(1上2中3下)	buff特效渲染层级(1上2下)	buff位置偏移	buff位置偏移1	buff特效资源1	buff特效类型(1只显示一次, 2循环特效)1	buff特效挂载点(1上2中3下)1	buff特效渲染层级(1上2下)1	buff位置偏移2	buff位置偏移3	特殊shader	隐藏飘字
50111211	插起11级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	44101	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50111212	插起12级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	45287	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50111213	插起13级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	46473	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50111214	插起14级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	47659	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50111215	插起15级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	48845	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112201	插起1级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	32241	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112202	插起2级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	33427	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112203	插起3级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	34613	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112204	插起4级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	35799	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112205	插起5级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	36985	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112206	插起6级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	38171	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112207	插起7级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	39357	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112208	插起8级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	40543	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112209	插起9级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	41729	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112210	插起10级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	42915	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112211	插起11级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	44101	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112212	插起12级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	45287	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112213	插起13级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	46473	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112214	插起14级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	47659	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50112215	插起15级	插起	1	1	0	1	1	0	1	0	0	0	0	0	0	1	400	1800	48845	0	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50120201	反弹伤害+减伤1级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	2320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120202	反弹伤害+减伤2级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	2405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5184	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120203	反弹伤害+减伤3级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	2490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5368	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120204	反弹伤害+减伤4级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	2575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5552	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120205	反弹伤害+减伤5级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	2660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5736	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120206	反弹伤害+减伤6级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	2745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5920	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120207	反弹伤害+减伤7级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	2830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6104	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120208	反弹伤害+减伤8级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	2915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6288	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120209	反弹伤害+减伤9级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6472	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120210	反弹伤害+减伤10级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6656	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120211	反弹伤害+减伤11级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6840	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120212	反弹伤害+减伤12级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7024	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120213	反弹伤害+减伤13级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7208	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120214	反弹伤害+减伤14级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7392	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50120215	反弹伤害+减伤15级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7576	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121201	反弹伤害+减伤1级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	2570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5538	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121202	反弹伤害+减伤2级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	2664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5742	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121203	反弹伤害+减伤3级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	2758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5946	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121204	反弹伤害+减伤4级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	2852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6150	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121205	反弹伤害+减伤5级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	2946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6354	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121206	反弹伤害+减伤6级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6558	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121207	反弹伤害+减伤7级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6762	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121208	反弹伤害+减伤8级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6966	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121209	反弹伤害+减伤9级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7170	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121210	反弹伤害+减伤10级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7374	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121211	反弹伤害+减伤11级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7578	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121212	反弹伤害+减伤12级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7782	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121213	反弹伤害+减伤13级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7986	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121214	反弹伤害+减伤14级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8190	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50121215	反弹伤害+减伤15级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8394	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122201	反弹伤害+减伤1级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6539	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122202	反弹伤害+减伤2级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6780	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122203	反弹伤害+减伤3级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7021	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122204	反弹伤害+减伤4级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7262	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122205	反弹伤害+减伤5级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7503	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122206	反弹伤害+减伤6级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7744	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122207	反弹伤害+减伤7级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7985	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122208	反弹伤害+减伤8级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8226	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122209	反弹伤害+减伤9级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	3922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8467	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122210	反弹伤害+减伤10级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	4033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8708	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122211	反弹伤害+减伤11级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	4144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8949	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122212	反弹伤害+减伤12级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	4255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9190	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122213	反弹伤害+减伤13级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	4366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9431	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122214	反弹伤害+减伤14级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	4477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9672	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50122215	反弹伤害+减伤15级	反弹伤害+减伤成长	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	4588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9913	0	0	0	0	buff_huangjiayuchu_P	2	2	1	0	0	buff_huangjiayuchu_T	2	2	2	0	0	0	1
50130201	降低治疗效果1级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-2784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130202	降低治疗效果2级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-2886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130203	降低治疗效果3级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-2988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130204	降低治疗效果4级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-3090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130205	降低治疗效果5级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-3192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130206	降低治疗效果6级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-3294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130207	降低治疗效果7级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-3396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130208	降低治疗效果8级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-3498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130209	降低治疗效果9级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-3600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130210	降低治疗效果10级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-3702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130211	降低治疗效果11级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-3804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130212	降低治疗效果12级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-3906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130213	降低治疗效果13级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-4008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130214	降低治疗效果14级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-4110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50130215	降低治疗效果15级	降低治疗效果	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	-4212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50140101	变蛇1级	变蛇	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	summon_xiaoshe	1	35	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50141101	变蛇1级	变蛇	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-2498	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	summon_xiaoshe	1	35	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50142101	变蛇1级	变蛇	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	-2498	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	summon_xiaoshe	1	35	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50140201	攻击提升1级	攻击提升	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_yanhou	2	2	2	0	0	0	0	0	0	0	0	0	1
50140202	攻击提升2级	攻击提升	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_yanhou	2	2	2	0	0	0	0	0	0	0	0	0	1
50140203	攻击提升3级	攻击提升	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_yanhou	2	2	2	0	0	0	0	0	0	0	0	0	1
50140204	攻击提升4级	攻击提升	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_yanhou	2	2	2	0	0	0	0	0	0	0	0	0	1
50140205	攻击提升5级	攻击提升	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_yanhou	2	2	2	0	0	0	0	0	0	0	0	0	1
50140206	攻击提升6级	攻击提升	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_yanhou	2	2	2	0	0	0	0	0	0	0	0	0	1
50140207	攻击提升7级	攻击提升	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_yanhou	2	2	2	0	0	0	0	0	0	0	0	0	1
50140208	攻击提升8级	攻击提升	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	buff_yanhou	2	2	2	0	0	0	0	0	0	0	0	0	1
