等级	主角ID	最低英雄基础星级	最高英雄基础星级	英雄数	突破等级	军队等级	技能等级	基础怒气	命中率	闪避率	暴击率	抗暴率	伤害加成	伤害减免	暴击伤害	暴击减伤	技能伤害加成	技能伤害减免	无视护甲	无视技防	治疗加成	怒气回复加成	负面抗性
239	20006	6	6	7	10	6	3	2147.2421764	4284.9410542	4284.9410542	4284.9410542	4284.9410542	4284.9410542	4284.9410542	2624.4071045	0	1431.4947843	3340.1544966	1192.9123202	1192.9123202	1192.9123202	1192.9123202	1192.9123202
240	20006	6	6	7	10	6	4	2163.509109	4317.4026219	4317.4026219	4317.4026219	4317.4026219	4317.4026219	4317.4026219	2644.288911	0	1442.339406	3365.458614	1201.949505	1201.949505	1201.949505	1201.949505	1201.949505
241	20006	6	6	7	10	6	4	2179.8305829	4349.9730299	4349.9730299	4349.9730299	4349.9730299	4349.9730299	4349.9730299	2664.2373791	0	1453.2203886	3390.8475734	1211.0169905	1211.0169905	1211.0169905	1211.0169905	1211.0169905
242	20006	6	6	7	10	6	4	2196.2065526	4382.6521872	4382.6521872	4382.6521872	4382.6521872	4382.6521872	4382.6521872	2684.2524532	0	1464.1377017	3416.321304	1220.1147514	1220.1147514	1220.1147514	1220.1147514	1220.1147514
243	20006	6	6	7	10	6	4	2212.6369728	4415.4400034	4415.4400034	4415.4400034	4415.4400034	4415.4400034	4415.4400034	2704.3340778	0	1475.0913152	3441.8797354	1229.2427626	1229.2427626	1229.2427626	1229.2427626	1229.2427626
244	20006	6	6	7	10	6	4	2229.1217984	4448.3363887	4448.3363887	4448.3363887	4448.3363887	4448.3363887	4448.3363887	2724.482198	0	1486.0811989	3467.5227974	1238.4009991	1238.4009991	1238.4009991	1238.4009991	1238.4009991
245	20006	6	6	7	10	6	4	2245.6609845	4481.3412535	4481.3412535	4481.3412535	4481.3412535	4481.3412535	4481.3412535	2744.6967588	0	1497.107323	3493.2504203	1247.5894358	1247.5894358	1247.5894358	1247.5894358	1247.5894358
246	20006	6	6	7	10	6	4	2262.2544866	4514.4545087	4514.4545087	4514.4545087	4514.4545087	4514.4545087	4514.4545087	2764.9777058	0	1508.1696577	3519.0625347	1256.8080481	1256.8080481	1256.8080481	1256.8080481	1256.8080481
247	20006	6	6	7	10	6	4	2278.9022601	4547.6760658	4547.6760658	4547.6760658	4547.6760658	4547.6760658	4547.6760658	2785.3249846	0	1519.2681734	3544.9590713	1266.0568112	1266.0568112	1266.0568112	1266.0568112	1266.0568112
248	20006	6	6	7	10	6	4	2295.604261	4581.0058365	4581.0058365	4581.0058365	4581.0058365	4581.0058365	4581.0058365	2805.7385413	0	1530.4028407	3570.9399616	1275.3357006	1275.3357006	1275.3357006	1275.3357006	1275.3357006
249	20006	6	6	7	10	6	4	2312.3604453	4614.443733	4614.443733	4614.443733	4614.443733	4614.443733	4614.443733	2826.218322	0	1541.5736302	3597.0051371	1284.6446918	1284.6446918	1284.6446918	1284.6446918	1284.6446918
250	20006	6	6	7	10	6	4	2329.1707691	4647.9896681	4647.9896681	4647.9896681	4647.9896681	4647.9896681	4647.9896681	2846.7642733	0	1552.7805127	3623.1545297	1293.9837606	1293.9837606	1293.9837606	1293.9837606	1293.9837606
251	20006	6	6	7	10	6	4	2346.0351889	4681.6435547	4681.6435547	4681.6435547	4681.6435547	4681.6435547	4681.6435547	2867.376342	0	1564.0234593	3649.3880716	1303.3528827	1303.3528827	1303.3528827	1303.3528827	1303.3528827
252	20006	6	6	7	10	6	4	2362.9536614	4715.4053065	4715.4053065	4715.4053065	4715.4053065	4715.4053065	4715.4053065	2888.054475	0	1575.3024409	3675.7056955	1312.7520341	1312.7520341	1312.7520341	1312.7520341	1312.7520341
253	20006	6	6	7	10	6	4	2379.9261434	4749.2748373	4749.2748373	4749.2748373	4749.2748373	4749.2748373	4749.2748373	2908.7986197	0	1586.6174289	3702.1073342	1322.1811908	1322.1811908	1322.1811908	1322.1811908	1322.1811908
254	20006	6	6	7	10	6	4	2396.952592	4783.2520614	4783.2520614	4783.2520614	4783.2520614	4783.2520614	4783.2520614	2929.6087236	0	1597.9683947	3728.5929209	1331.6403289	1331.6403289	1331.6403289	1331.6403289	1331.6403289
255	20006	6	6	7	10	6	4	2414.0329645	4817.3368936	4817.3368936	4817.3368936	4817.3368936	4817.3368936	4817.3368936	2950.4847344	0	1609.3553097	3755.1623892	1341.1294247	1341.1294247	1341.1294247	1341.1294247	1341.1294247
256	20006	6	6	7	10	6	4	2431.1672183	4851.529249	4851.529249	4851.529249	4851.529249	4851.529249	4851.529249	2971.4266002	0	1620.7781455	3781.8156729	1350.6484546	1350.6484546	1350.6484546	1350.6484546	1350.6484546
257	20006	6	6	7	10	6	4	2448.3553111	4885.8290431	4885.8290431	4885.8290431	4885.8290431	4885.8290431	4885.8290431	2992.4342692	0	1632.2368741	3808.5527062	1360.1973951	1360.1973951	1360.1973951	1360.1973951	1360.1973951
258	20006	6	6	7	10	6	4	2465.5972009	4920.236192	4920.236192	4920.236192	4920.236192	4920.236192	4920.236192	3013.5076899	0	1643.7314672	3835.3734236	1369.7762227	1369.7762227	1369.7762227	1369.7762227	1369.7762227
259	20006	6	6	7	10	6	4	2482.8928455	4954.7506118	4954.7506118	4954.7506118	4954.7506118	4954.7506118	4954.7506118	3034.6468112	0	1655.261897	3862.2777597	1379.3849142	1379.3849142	1379.3849142	1379.3849142	1379.3849142
260	20006	6	6	7	10	6	5	2500.2422034	4989.3722193	4989.3722193	4989.3722193	4989.3722193	4989.3722193	4989.3722193	3055.851582	0	1666.8281356	3889.2656498	1389.0234464	1389.0234464	1389.0234464	1389.0234464	1389.0234464
261	20006	6	6	7	10	6	5	2517.645233	5024.1009317	5024.1009317	5024.1009317	5024.1009317	5024.1009317	5024.1009317	3077.1219515	0	1678.4301553	3916.3370291	1398.6917961	1398.6917961	1398.6917961	1398.6917961	1398.6917961
262	20006	6	6	7	10	6	5	2535.1018929	5058.9366663	5058.9366663	5058.9366663	5058.9366663	5058.9366663	5058.9366663	3098.4578691	0	1690.0679286	3943.4918334	1408.3899405	1408.3899405	1408.3899405	1408.3899405	1408.3899405
263	20006	6	6	7	10	6	5	2552.612142	5093.8793411	5093.8793411	5093.8793411	5093.8793411	5093.8793411	5093.8793411	3119.8592846	0	1701.741428	3970.7299986	1418.1178567	1418.1178567	1418.1178567	1418.1178567	1418.1178567
264	20006	6	6	7	10	6	5	2570.1759393	5128.9288743	5128.9288743	5128.9288743	5128.9288743	5128.9288743	5128.9288743	3141.326148	0	1713.4506262	3998.0514611	1427.8755218	1427.8755218	1427.8755218	1427.8755218	1427.8755218
265	20006	6	6	7	10	6	5	2587.7932439	5164.0851846	5164.0851846	5164.0851846	5164.0851846	5164.0851846	5164.0851846	3162.8584093	0	1725.195496	4025.4561572	1437.6629133	1437.6629133	1437.6629133	1437.6629133	1437.6629133
266	20006	6	6	7	10	6	5	2605.4640154	5199.3481908	5199.3481908	5199.3481908	5199.3481908	5199.3481908	5199.3481908	3184.4560189	0	1736.9760103	4052.944024	1447.4800086	1447.4800086	1447.4800086	1447.4800086	1447.4800086
267	20006	6	6	7	10	6	5	2623.1882133	5234.7178124	5234.7178124	5234.7178124	5234.7178124	5234.7178124	5234.7178124	3206.1189274	0	1748.7921422	4080.5149985	1457.3267852	1457.3267852	1457.3267852	1457.3267852	1457.3267852
268	20006	6	6	7	10	6	5	2640.9657974	5270.1939691	5270.1939691	5270.1939691	5270.1939691	5270.1939691	5270.1939691	3227.8470857	0	1760.643865	4108.1690182	1467.2032208	1467.2032208	1467.2032208	1467.2032208	1467.2032208
269	20006	6	6	7	10	6	5	2658.7967276	5305.7765809	5305.7765809	5305.7765809	5305.7765809	5305.7765809	5305.7765809	3249.6404449	0	1772.5311518	4135.9060208	1477.1092931	1477.1092931	1477.1092931	1477.1092931	1477.1092931
270	20006	6	6	7	10	6	5	2676.6809641	5341.4655683	5341.4655683	5341.4655683	5341.4655683	5341.4655683	5341.4655683	3271.4989561	0	1784.4539761	4163.7259441	1487.0449801	1487.0449801	1487.0449801	1487.0449801	1487.0449801
271	20006	6	6	7	10	6	5	2694.6184671	5377.2608522	5377.2608522	5377.2608522	5377.2608522	5377.2608522	5377.2608522	3293.4225709	0	1796.4123114	4191.6287266	1497.0102595	1497.0102595	1497.0102595	1497.0102595	1497.0102595
272	20006	6	6	7	10	6	5	2712.6091972	5413.1623535	5413.1623535	5413.1623535	5413.1623535	5413.1623535	5413.1623535	3315.411241	0	1808.4061315	4219.6143067	1507.0051095	1507.0051095	1507.0051095	1507.0051095	1507.0051095
273	20006	6	6	7	10	6	5	2730.653115	5449.1699938	5449.1699938	5449.1699938	5449.1699938	5449.1699938	5449.1699938	3337.4649183	0	1820.43541	4247.6826233	1517.0295083	1517.0295083	1517.0295083	1517.0295083	1517.0295083
274	20006	6	6	7	10	6	5	2748.7501813	5485.2836951	5485.2836951	5485.2836951	5485.2836951	5485.2836951	5485.2836951	3359.5835549	0	1832.5001208	4275.8336153	1527.083434	1527.083434	1527.083434	1527.083434	1527.083434
275	20006	6	6	7	10	6	5	2766.9003571	5521.5033793	5521.5033793	5521.5033793	5521.5033793	5521.5033793	5521.5033793	3381.7671031	0	1844.6002381	4304.0672222	1537.1668651	1537.1668651	1537.1668651	1537.1668651	1537.1668651
276	20006	6	6	7	10	6	5	2785.1036037	5557.8289692	5557.8289692	5557.8289692	5557.8289692	5557.8289692	5557.8289692	3404.0155156	0	1856.7357358	4332.3833835	1547.2797798	1547.2797798	1547.2797798	1547.2797798	1547.2797798
277	20006	6	6	7	10	6	5	2803.3598823	5594.2603874	5594.2603874	5594.2603874	5594.2603874	5594.2603874	5594.2603874	3426.3287451	0	1868.9065882	4360.7820392	1557.4221569	1557.4221569	1557.4221569	1557.4221569	1557.4221569
278	20006	6	6	7	10	6	5	2821.6691546	5630.7975574	5630.7975574	5630.7975574	5630.7975574	5630.7975574	5630.7975574	3448.7067445	0	1881.1127697	4389.2631293	1567.5939748	1567.5939748	1567.5939748	1567.5939748	1567.5939748
279	20006	6	6	7	10	6	5	2840.0313821	5667.4404025	5667.4404025	5667.4404025	5667.4404025	5667.4404025	5667.4404025	3471.149467	0	1893.3542547	4417.8265943	1577.7952123	1577.7952123	1577.7952123	1577.7952123	1577.7952123
280	20006	6	6	7	10	6	5	2858.4465267	5704.1888466	5704.1888466	5704.1888466	5704.1888466	5704.1888466	5704.1888466	3493.656866	0	1905.6310178	4446.4723749	1588.0258482	1588.0258482	1588.0258482	1588.0258482	1588.0258482
281	20006	6	6	7	10	6	5	2876.9145504	5741.042814	5741.042814	5741.042814	5741.042814	5741.042814	5741.042814	3516.228895	0	1917.9430336	4475.2004118	1598.2858614	1598.2858614	1598.2858614	1598.2858614	1598.2858614
282	20006	6	6	7	10	6	5	2895.4354155	5778.0022291	5778.0022291	5778.0022291	5778.0022291	5778.0022291	5778.0022291	3538.8655078	0	1930.290277	4504.0106463	1608.5752308	1608.5752308	1608.5752308	1608.5752308	1608.5752308
283	20006	6	6	7	10	6	5	2914.0090842	5815.0670168	5815.0670168	5815.0670168	5815.0670168	5815.0670168	5815.0670168	3561.5666584	0	1942.6727228	4532.9030198	1618.8939356	1618.8939356	1618.8939356	1618.8939356	1618.8939356
284	20006	6	6	7	10	6	5	2932.635519	5852.2371023	5852.2371023	5852.2371023	5852.2371023	5852.2371023	5852.2371023	3584.332301	0	1955.090346	4561.877474	1629.241955	1629.241955	1629.241955	1629.241955	1629.241955
285	20006	6	6	7	10	6	5	2951.3146826	5889.512411	5889.512411	5889.512411	5889.512411	5889.512411	5889.512411	3607.1623898	0	1967.5431217	4590.9339507	1639.6192681	1639.6192681	1639.6192681	1639.6192681	1639.6192681
286	20006	6	6	7	10	6	5	2970.0465378	5926.8928687	5926.8928687	5926.8928687	5926.8928687	5926.8928687	5926.8928687	3630.0568795	0	1980.0310252	4620.0723921	1650.0258543	1650.0258543	1650.0258543	1650.0258543	1650.0258543
287	20006	6	6	7	10	6	5	2988.8310476	5964.3784016	5964.3784016	5964.3784016	5964.3784016	5964.3784016	5964.3784016	3653.0157248	0	1992.5540317	4649.2927407	1660.4616931	1660.4616931	1660.4616931	1660.4616931	1660.4616931
288	20006	6	6	7	10	6	5	3007.6681751	6001.968936	6001.968936	6001.968936	6001.968936	6001.968936	6001.968936	3676.0388806	0	2005.1121167	4678.594939	1670.9267639	1670.9267639	1670.9267639	1670.9267639	1670.9267639
289	20006	6	6	7	10	6	5	3026.5578836	6039.6643987	6039.6643987	6039.6643987	6039.6643987	6039.6643987	6039.6643987	3699.1263021	0	2017.7052557	4707.97893	1681.4210464	1681.4210464	1681.4210464	1681.4210464	1681.4210464
290	20006	6	6	7	10	6	5	3045.5001365	6077.4647167	6077.4647167	6077.4647167	6077.4647167	6077.4647167	6077.4647167	3722.2779446	0	2030.3334243	4737.4446567	1691.9445203	1691.9445203	1691.9445203	1691.9445203	1691.9445203
291	20006	6	6	7	10	6	5	3064.4948974	6115.3698174	6115.3698174	6115.3698174	6115.3698174	6115.3698174	6115.3698174	3745.4937634	0	2042.9965982	4766.9920626	1702.4971652	1702.4971652	1702.4971652	1702.4971652	1702.4971652
292	20006	6	6	7	10	6	5	3083.54213	6153.3796283	6153.3796283	6153.3796283	6153.3796283	6153.3796283	6153.3796283	3768.7737145	0	2055.6947533	4796.6210911	1713.0789611	1713.0789611	1713.0789611	1713.0789611	1713.0789611
293	20006	6	6	7	10	6	5	3102.6417983	6191.4940775	6191.4940775	6191.4940775	6191.4940775	6191.4940775	6191.4940775	3792.1177535	0	2068.4278655	4826.3316862	1723.6898879	1723.6898879	1723.6898879	1723.6898879	1723.6898879
294	20006	6	6	7	10	6	5	3121.7938662	6229.7130931	6229.7130931	6229.7130931	6229.7130931	6229.7130931	6229.7130931	3815.5258365	0	2081.1959108	4856.1237919	1734.3299257	1734.3299257	1734.3299257	1734.3299257	1734.3299257
295	20006	6	6	7	10	6	5	3140.9982981	6268.0366037	6268.0366037	6268.0366037	6268.0366037	6268.0366037	6268.0366037	3838.9979198	0	2093.9988654	4885.9973525	1744.9990545	1744.9990545	1744.9990545	1744.9990545	1744.9990545
296	20006	6	6	7	10	6	5	3160.255058	6306.464538	6306.464538	6306.464538	6306.464538	6306.464538	6306.464538	3862.5339598	0	2106.8367054	4915.9523125	1755.6972545	1755.6972545	1755.6972545	1755.6972545	1755.6972545
297	20006	6	6	7	10	6	5	3179.5641107	6344.9968253	6344.9968253	6344.9968253	6344.9968253	6344.9968253	6344.9968253	3886.133913	0	2119.7094071	4945.9886166	1766.4245059	1766.4245059	1766.4245059	1766.4245059	1766.4245059
298	20006	6	6	7	10	6	5	3198.9254206	6383.6333949	6383.6333949	6383.6333949	6383.6333949	6383.6333949	6383.6333949	3909.7977363	0	2132.6169471	4976.1062098	1777.1807892	1777.1807892	1777.1807892	1777.1807892	1777.1807892
299	20006	6	6	7	10	6	5	3218.3389525	6422.3741764	6422.3741764	6422.3741764	6422.3741764	6422.3741764	6422.3741764	3933.5253864	0	2145.5593017	5006.3050373	1787.9660847	1787.9660847	1787.9660847	1787.9660847	1787.9660847
300	20006	6	6	7	10	6	5	3237.8046714	6461.2190999	6461.2190999	6461.2190999	6461.2190999	6461.2190999	6461.2190999	3957.3168206	0	2158.5364476	5036.5850444	1798.780373	1798.780373	1798.780373	1798.780373	1798.780373
301	20006	6	6	7	10	6	5	3257.3225423	6500.1680955	6500.1680955	6500.1680955	6500.1680955	6500.1680955	6500.1680955	3981.1719961	0	2171.5483615	5066.9461769	1809.6236346	1809.6236346	1809.6236346	1809.6236346	1809.6236346
302	20006	6	6	7	10	6	5	3276.8925303	6539.2210939	6539.2210939	6539.2210939	6539.2210939	6539.2210939	6539.2210939	4005.0908704	0	2184.5950202	5097.3883805	1820.4958502	1820.4958502	1820.4958502	1820.4958502	1820.4958502
303	20006	6	6	7	10	6	5	3296.5146009	6578.3780258	6578.3780258	6578.3780258	6578.3780258	6578.3780258	6578.3780258	4029.0734011	0	2197.6764006	5127.9116014	1831.3970005	1831.3970005	1831.3970005	1831.3970005	1831.3970005
304	20006	6	6	7	10	6	5	3316.1887194	6617.6388223	6617.6388223	6617.6388223	6617.6388223	6617.6388223	6617.6388223	4053.1195459	0	2210.7924796	5158.5157857	1842.3270663	1842.3270663	1842.3270663	1842.3270663	1842.3270663
305	20006	6	6	7	10	6	5	3335.9148515	6657.0034147	6657.0034147	6657.0034147	6657.0034147	6657.0034147	6657.0034147	4077.2292629	0	2223.9432343	5189.2008801	1853.2860286	1853.2860286	1853.2860286	1853.2860286	1853.2860286
306	20006	6	6	7	10	6	5	3355.6929628	6696.4717347	6696.4717347	6696.4717347	6696.4717347	6696.4717347	6696.4717347	4101.4025101	0	2237.1286419	5219.9668311	1864.2738682	1864.2738682	1864.2738682	1864.2738682	1864.2738682
307	20006	6	6	7	10	6	5	3375.5230193	6736.0437142	6736.0437142	6736.0437142	6736.0437142	6736.0437142	6736.0437142	4125.6392459	0	2250.3486796	5250.8135856	1875.2905663	1875.2905663	1875.2905663	1875.2905663	1875.2905663
308	20006	6	6	7	10	6	5	3395.404987	6775.7192852	6775.7192852	6775.7192852	6775.7192852	6775.7192852	6775.7192852	4149.9394286	0	2263.6033247	5281.7410909	1886.3361039	1886.3361039	1886.3361039	1886.3361039	1886.3361039
309	20006	6	6	7	10	6	5	3415.338832	6815.4983804	6815.4983804	6815.4983804	6815.4983804	6815.4983804	6815.4983804	4174.3030169	0	2276.8925547	5312.7492943	1897.4104622	1897.4104622	1897.4104622	1897.4104622	1897.4104622
310	20006	6	6	7	10	6	5	3435.3245206	6855.3809322	6855.3809322	6855.3809322	6855.3809322	6855.3809322	6855.3809322	4198.7299696	0	2290.2163471	5343.8381432	1908.5136226	1908.5136226	1908.5136226	1908.5136226	1908.5136226
311	20006	6	6	7	10	6	5	3455.3620191	6895.3668738	6895.3668738	6895.3668738	6895.3668738	6895.3668738	6895.3668738	4223.2202456	0	2303.5746794	5375.0075853	1919.6455662	1919.6455662	1919.6455662	1919.6455662	1919.6455662
312	20006	6	6	7	10	6	5	3475.4512942	6935.4561382	6935.4561382	6935.4561382	6935.4561382	6935.4561382	6935.4561382	4247.773804	0	2316.9675295	5406.2575688	1930.8062746	1930.8062746	1930.8062746	1930.8062746	1930.8062746
313	20006	6	6	7	10	6	5	3495.5923124	6975.648659	6975.648659	6975.648659	6975.648659	6975.648659	6975.648659	4272.3906041	0	2330.394875	5437.5880416	1941.9957291	1941.9957291	1941.9957291	1941.9957291	1941.9957291
314	20006	6	6	7	10	6	5	3515.7850406	7015.9443699	7015.9443699	7015.9443699	7015.9443699	7015.9443699	7015.9443699	4297.0706052	0	2343.8566937	5468.9989521	1953.2139114	1953.2139114	1953.2139114	1953.2139114	1953.2139114
315	20006	6	6	7	10	6	5	3536.0294457	7056.3432049	7056.3432049	7056.3432049	7056.3432049	7056.3432049	7056.3432049	4321.8137669	0	2357.3529638	5500.4902488	1964.4608031	1964.4608031	1964.4608031	1964.4608031	1964.4608031
316	20006	6	6	7	10	6	5	3556.3254946	7096.8450982	7096.8450982	7096.8450982	7096.8450982	7096.8450982	7096.8450982	4346.620049	0	2370.8836631	5532.0618805	1975.7363859	1975.7363859	1975.7363859	1975.7363859	1975.7363859
317	20006	6	6	7	10	6	5	3576.6731547	7137.4499842	7137.4499842	7137.4499842	7137.4499842	7137.4499842	7137.4499842	4371.4894113	0	2384.4487698	5563.7137962	1987.0406415	1987.0406415	1987.0406415	1987.0406415	1987.0406415
318	20006	6	6	7	10	6	5	3597.0723931	7178.1577978	7178.1577978	7178.1577978	7178.1577978	7178.1577978	7178.1577978	4396.4218138	0	2398.0482621	5595.4459448	1998.3735517	1998.3735517	1998.3735517	1998.3735517	1998.3735517
319	20006	6	6	7	10	6	5	3617.5231773	7218.9684738	7218.9684738	7218.9684738	7218.9684738	7218.9684738	7218.9684738	4421.4172167	0	2411.6821182	5627.2582758	2009.7350985	2009.7350985	2009.7350985	2009.7350985	2009.7350985
320	20006	6	6	7	10	6	5	3638.0254749	7259.8819476	7259.8819476	7259.8819476	7259.8819476	7259.8819476	7259.8819476	4446.4755804	0	2425.3503166	5659.1507387	2021.1252638	2021.1252638	2021.1252638	2021.1252638	2021.1252638
321	20006	6	6	7	10	6	5	3658.5792534	7300.8981546	7300.8981546	7300.8981546	7300.8981546	7300.8981546	7300.8981546	4471.5968653	0	2439.0528356	5691.1232831	2032.5440297	2032.5440297	2032.5440297	2032.5440297	2032.5440297
322	20006	6	6	7	10	6	5	3679.1844808	7342.0170305	7342.0170305	7342.0170305	7342.0170305	7342.0170305	7342.0170305	4496.781032	0	2452.7896538	5723.175859	2043.9913782	2043.9913782	2043.9913782	2043.9913782	2043.9913782
323	20006	6	6	7	10	6	5	3699.8411248	7383.2385112	7383.2385112	7383.2385112	7383.2385112	7383.2385112	7383.2385112	4522.0280414	0	2466.5607498	5755.3084163	2055.4672915	2055.4672915	2055.4672915	2055.4672915	2055.4672915
324	20006	6	6	7	10	6	5	3720.5491535	7424.562533	7424.562533	7424.562533	7424.562533	7424.562533	7424.562533	4547.3378543	0	2480.3661023	5787.5209054	2066.9717519	2066.9717519	2066.9717519	2066.9717519	2066.9717519
325	20006	6	6	7	10	6	5	3741.3085351	7465.9890322	7465.9890322	7465.9890322	7465.9890322	7465.9890322	7465.9890322	4572.7104318	0	2494.2056901	5819.8132768	2078.5047417	2078.5047417	2078.5047417	2078.5047417	2078.5047417
326	20006	6	6	7	10	6	5	3762.1192378	7507.5179456	7507.5179456	7507.5179456	7507.5179456	7507.5179456	7507.5179456	4598.1457351	0	2508.0794918	5852.185481	2090.0662432	2090.0662432	2090.0662432	2090.0662432	2090.0662432
327	20006	6	6	7	10	6	5	3782.98123	7549.14921	7549.14921	7549.14921	7549.14921	7549.14921	7549.14921	4623.6437255	0	2521.9874866	5884.6374688	2101.6562389	2101.6562389	2101.6562389	2101.6562389	2101.6562389
328	20006	6	6	7	10	6	5	3803.8944801	7590.8827626	7590.8827626	7590.8827626	7590.8827626	7590.8827626	7590.8827626	4649.2043646	0	2535.9296534	5917.1691913	2113.2747112	2113.2747112	2113.2747112	2113.2747112	2113.2747112
329	20006	6	6	7	10	6	5	3824.8589569	7632.7185407	7632.7185407	7632.7185407	7632.7185407	7632.7185407	7632.7185407	4674.827614	0	2549.9059713	5949.7805996	2124.9216427	2124.9216427	2124.9216427	2124.9216427	2124.9216427
330	20006	6	6	7	10	6	5	3845.874629	7674.6564819	7674.6564819	7674.6564819	7674.6564819	7674.6564819	7674.6564819	4700.5134355	0	2563.9164193	5982.4716451	2136.5970161	2136.5970161	2136.5970161	2136.5970161	2136.5970161
331	20006	6	6	7	10	6	5	3866.9414653	7716.6965241	7716.6965241	7716.6965241	7716.6965241	7716.6965241	7716.6965241	4726.2617909	0	2577.9609769	6015.2422793	2148.300814	2148.300814	2148.300814	2148.300814	2148.300814
332	20006	6	6	7	10	6	5	3888.0594347	7758.8386052	7758.8386052	7758.8386052	7758.8386052	7758.8386052	7758.8386052	4752.0726424	0	2592.0396231	6048.0924539	2160.0330193	2160.0330193	2160.0330193	2160.0330193	2160.0330193
333	20006	6	6	7	10	6	5	3909.2285062	7801.0826636	7801.0826636	7801.0826636	7801.0826636	7801.0826636	7801.0826636	4777.9459521	0	2606.1523375	6081.0221208	2171.7936146	2171.7936146	2171.7936146	2171.7936146	2171.7936146
334	20006	6	6	7	10	6	5	3930.4486492	7843.4286377	7843.4286377	7843.4286377	7843.4286377	7843.4286377	7843.4286377	4803.8816823	0	2620.2990995	6114.0312321	2183.5825829	2183.5825829	2183.5825829	2183.5825829	2183.5825829
335	20006	6	6	7	10	6	5	3951.7198328	7885.8764663	7885.8764663	7885.8764663	7885.8764663	7885.8764663	7885.8764663	4829.8797956	0	2634.4798885	6147.1197399	2195.3999071	2195.3999071	2195.3999071	2195.3999071	2195.3999071
336	20006	6	6	7	10	6	5	3973.0420264	7928.4260883	7928.4260883	7928.4260883	7928.4260883	7928.4260883	7928.4260883	4855.9402545	0	2648.6946843	6180.2875966	2207.2455702	2207.2455702	2207.2455702	2207.2455702	2207.2455702
337	20006	6	6	7	10	6	5	3994.4151996	7971.0774428	7971.0774428	7971.0774428	7971.0774428	7971.0774428	7971.0774428	4882.0630218	0	2662.9434664	6213.534755	2219.1195553	2219.1195553	2219.1195553	2219.1195553	2219.1195553
338	20006	6	6	7	10	6	5	4015.839322	8013.8304693	8013.8304693	8013.8304693	8013.8304693	8013.8304693	8013.8304693	4908.2480602	0	2677.2262147	6246.8611676	2231.0218456	2231.0218456	2231.0218456	2231.0218456	2231.0218456
339	20006	6	6	7	10	6	5	4037.3143633	8056.6851072	8056.6851072	8056.6851072	8056.6851072	8056.6851072	8056.6851072	4934.4953329	0	2691.5429089	6280.2667874	2242.9524241	2242.9524241	2242.9524241	2242.9524241	2242.9524241
340	20006	6	6	7	10	6	5	4058.8402934	8099.6412965	8099.6412965	8099.6412965	8099.6412965	8099.6412965	8099.6412965	4960.804803	0	2705.8935289	6313.7515675	2254.9112741	2254.9112741	2254.9112741	2254.9112741	2254.9112741
341	20006	6	6	7	10	6	5	4080.4170821	8142.6989772	8142.6989772	8142.6989772	8142.6989772	8142.6989772	8142.6989772	4987.1764337	0	2720.2780547	6347.315461	2266.8983789	2266.8983789	2266.8983789	2266.8983789	2266.8983789
342	20006	6	6	7	10	6	5	4102.0446996	8185.8580894	8185.8580894	8185.8580894	8185.8580894	8185.8580894	8185.8580894	5013.6101884	0	2734.6964664	6380.9584215	2278.913722	2278.913722	2278.913722	2278.913722	2278.913722
343	20006	6	6	7	10	6	5	4123.7231159	8229.1185735	8229.1185735	8229.1185735	8229.1185735	8229.1185735	8229.1185735	5040.1060306	0	2749.1487439	6414.6804025	2290.9572866	2290.9572866	2290.9572866	2290.9572866	2290.9572866
344	20006	6	6	7	10	6	5	4145.4523014	8272.4803704	8272.4803704	8272.4803704	8272.4803704	8272.4803704	8272.4803704	5066.6639239	0	2763.6348676	6448.4813578	2303.0290563	2303.0290563	2303.0290563	2303.0290563	2303.0290563
345	20006	6	6	7	10	6	5	4167.2322264	8315.9434207	8315.9434207	8315.9434207	8315.9434207	8315.9434207	8315.9434207	5093.2838323	0	2778.1548176	6482.3612411	2315.1290147	2315.1290147	2315.1290147	2315.1290147	2315.1290147
346	20006	6	6	7	10	6	5	4189.0628614	8359.5076656	8359.5076656	8359.5076656	8359.5076656	8359.5076656	8359.5076656	5119.9657195	0	2792.7085743	6516.3200066	2327.2571452	2327.2571452	2327.2571452	2327.2571452	2327.2571452
347	20006	6	6	7	10	6	5	4210.9441769	8403.1730464	8403.1730464	8403.1730464	8403.1730464	8403.1730464	8403.1730464	5146.7095496	0	2807.2961179	6550.3576085	2339.4134316	2339.4134316	2339.4134316	2339.4134316	2339.4134316
348	20006	6	6	7	10	6	5	4232.8761437	8446.9395044	8446.9395044	8446.9395044	8446.9395044	8446.9395044	8446.9395044	5173.5152867	0	2821.9174291	6584.4740012	2351.5978576	2351.5978576	2351.5978576	2351.5978576	2351.5978576
349	20006	6	6	7	10	6	5	4254.8587324	8490.8069815	8490.8069815	8490.8069815	8490.8069815	8490.8069815	8490.8069815	5200.3828951	0	2836.5724882	6618.6691392	2363.8104069	2363.8104069	2363.8104069	2363.8104069	2363.8104069
350	20006	6	6	7	10	6	5	4276.8919139	8534.7754194	8534.7754194	8534.7754194	8534.7754194	8534.7754194	8534.7754194	5227.3123393	0	2851.261276	6652.9429773	2376.0510633	2376.0510633	2376.0510633	2376.0510633	2376.0510633
